treatment_name,experiment_code,role,visibility,schema_type,generated_n,human_n,metric,distance_kind,score
E1_ROLE_A_HIDDEN,E1,A,hidden,role_a_check,50,50,return_pct,wasserstein_1d,17.620000000000005
E1_ROLE_A_HIDDEN,E1,A,hidden,role_a_check,50,50,joint_pattern_distribution,total_variation,0.28
E1_ROLE_A_OBSERVABLE,E1,A,observable,role_a_check,50,50,return_pct,wasserstein_1d,9.46
E1_ROLE_A_OBSERVABLE,E1,A,observable,role_a_check,50,50,joint_pattern_distribution,total_variation,0.4
E1_ROLE_B_HIDDEN,E1,B,hidden,role_b_hidden_check,50,50,send_if_act,wasserstein_1d,3.0199999999999996
E1_ROLE_B_HIDDEN,E1,B,hidden,role_b_hidden_check,50,50,send_if_no_act,wasserstein_1d,3.1000000000000005
E1_ROLE_B_HIDDEN,E1,B,hidden,role_b_hidden_check,50,50,mean_send_field_distance,mean_wasserstein_1d,3.06
E1_ROLE_B_HIDDEN,E1,B,hidden,role_b_hidden_check,50,50,action_premium,wasserstein_1d,3.68
E1_ROLE_B_HIDDEN,E1,B,hidden,role_b_hidden_check,50,50,mean_action_premium_distance,mean_wasserstein_1d,3.68
E1_ROLE_B_OBSERVABLE,E1,B,observable,role_b_observable_check,50,50,send_if_act_without_check,wasserstein_1d,2.7
E1_ROLE_B_OBSERVABLE,E1,B,observable,role_b_observable_check,50,50,send_if_act_after_check,wasserstein_1d,2.86
E1_ROLE_B_OBSERVABLE,E1,B,observable,role_b_observable_check,50,50,send_if_no_act_without_check,wasserstein_1d,3.1
E1_ROLE_B_OBSERVABLE,E1,B,observable,role_b_observable_check,50,50,send_if_no_act_after_check,wasserstein_1d,2.66
E1_ROLE_B_OBSERVABLE,E1,B,observable,role_b_observable_check,50,50,mean_send_field_distance,mean_wasserstein_1d,2.83
E1_ROLE_B_OBSERVABLE,E1,B,observable,role_b_observable_check,50,50,action_premium_without_check,wasserstein_1d,4.04
E1_ROLE_B_OBSERVABLE,E1,B,observable,role_b_observable_check,50,50,action_premium_after_check,wasserstein_1d,3.6399999999999997
E1_ROLE_B_OBSERVABLE,E1,B,observable,role_b_observable_check,50,50,mean_action_premium_distance,mean_wasserstein_1d,3.84
E1_ROLE_B_OBSERVABLE,E1,B,observable,role_b_observable_check,50,50,process_premium_if_act,wasserstein_1d,1.6799999999999997
E1_ROLE_B_OBSERVABLE,E1,B,observable,role_b_observable_check,50,50,process_premium_if_no_act,wasserstein_1d,2.36
E1_ROLE_B_OBSERVABLE,E1,B,observable,role_b_observable_check,50,50,mean_process_premium_distance,mean_wasserstein_1d,2.0199999999999996
E2_ROLE_A_HIDDEN,E2,A,hidden,role_a_check,50,50,return_pct,wasserstein_1d,10.620000000000001
E2_ROLE_A_HIDDEN,E2,A,hidden,role_a_check,50,50,joint_pattern_distribution,total_variation,0.74
E2_ROLE_A_OBSERVABLE,E2,A,observable,role_a_check,50,50,return_pct,wasserstein_1d,12.44
E2_ROLE_A_OBSERVABLE,E2,A,observable,role_a_check,50,50,joint_pattern_distribution,total_variation,0.7
E2_ROLE_B_HIDDEN,E2,B,hidden,role_b_hidden_check,50,50,send_if_act,wasserstein_1d,3.5200000000000005
E2_ROLE_B_HIDDEN,E2,B,hidden,role_b_hidden_check,50,50,send_if_no_act,wasserstein_1d,2.8400000000000003
E2_ROLE_B_HIDDEN,E2,B,hidden,role_b_hidden_check,50,50,mean_send_field_distance,mean_wasserstein_1d,3.1800000000000006
E2_ROLE_B_HIDDEN,E2,B,hidden,role_b_hidden_check,50,50,action_premium,wasserstein_1d,4.84
E2_ROLE_B_HIDDEN,E2,B,hidden,role_b_hidden_check,50,50,mean_action_premium_distance,mean_wasserstein_1d,4.84
E2_ROLE_B_OBSERVABLE,E2,B,observable,role_b_observable_check,50,50,send_if_act_without_check,wasserstein_1d,3.2600000000000002
E2_ROLE_B_OBSERVABLE,E2,B,observable,role_b_observable_check,50,50,send_if_act_after_check,wasserstein_1d,2.94
E2_ROLE_B_OBSERVABLE,E2,B,observable,role_b_observable_check,50,50,send_if_no_act_without_check,wasserstein_1d,2.72
E2_ROLE_B_OBSERVABLE,E2,B,observable,role_b_observable_check,50,50,send_if_no_act_after_check,wasserstein_1d,2.7
E2_ROLE_B_OBSERVABLE,E2,B,observable,role_b_observable_check,50,50,mean_send_field_distance,mean_wasserstein_1d,2.9050000000000002
E2_ROLE_B_OBSERVABLE,E2,B,observable,role_b_observable_check,50,50,action_premium_without_check,wasserstein_1d,4.46
E2_ROLE_B_OBSERVABLE,E2,B,observable,role_b_observable_check,50,50,action_premium_after_check,wasserstein_1d,3.56
E2_ROLE_B_OBSERVABLE,E2,B,observable,role_b_observable_check,50,50,mean_action_premium_distance,mean_wasserstein_1d,4.01
E2_ROLE_B_OBSERVABLE,E2,B,observable,role_b_observable_check,50,50,process_premium_if_act,wasserstein_1d,1.4000000000000004
E2_ROLE_B_OBSERVABLE,E2,B,observable,role_b_observable_check,50,50,process_premium_if_no_act,wasserstein_1d,1.3399999999999999
E2_ROLE_B_OBSERVABLE,E2,B,observable,role_b_observable_check,50,50,mean_process_premium_distance,mean_wasserstein_1d,1.37
E3A_ROLE_A_HIDDEN,E3A,A,hidden,role_a_time,50,50,return_pct,wasserstein_1d,12.82
E3A_ROLE_A_HIDDEN,E3A,A,hidden,role_a_time,50,50,joint_pattern_distribution,total_variation,0.84
