run_name,treatment_name,metric,direction,score
baseline_gpt_5_mini,E1_ROLE_A_HIDDEN,return_pct,human_to_model,0.154921766477604
baseline_gpt_5_mini,E1_ROLE_A_HIDDEN,return_pct,model_to_human,0.11873620387086012
baseline_gpt_5_mini,E1_ROLE_A_HIDDEN,joint_pattern_distribution,human_to_model,0.32730958425821133
baseline_gpt_5_mini,E1_ROLE_A_HIDDEN,joint_pattern_distribution,model_to_human,0.20691364579990656
baseline_gpt_5_mini,E1_ROLE_A_OBSERVABLE,return_pct,human_to_model,0.09876947669981219
baseline_gpt_5_mini,E1_ROLE_A_OBSERVABLE,return_pct,model_to_human,0.07882740737425967
baseline_gpt_5_mini,E1_ROLE_A_OBSERVABLE,joint_pattern_distribution,human_to_model,0.22569488456514333
baseline_gpt_5_mini,E1_ROLE_A_OBSERVABLE,joint_pattern_distribution,model_to_human,0.17177730383941392
baseline_gpt_5_mini,E1_ROLE_B_HIDDEN,send_if_act,human_to_model,1.7629209549776494
baseline_gpt_5_mini,E1_ROLE_B_HIDDEN,send_if_act,model_to_human,1.6587506723130412
baseline_gpt_5_mini,E1_ROLE_B_HIDDEN,send_if_no_act,human_to_model,2.0001057350571427
baseline_gpt_5_mini,E1_ROLE_B_HIDDEN,send_if_no_act,model_to_human,2.1030725371290067
baseline_gpt_5_mini,E1_ROLE_B_HIDDEN,mean_send_field_kl,human_to_model,1.881513345017396
baseline_gpt_5_mini,E1_ROLE_B_HIDDEN,mean_send_field_kl,model_to_human,1.880911604721024
baseline_gpt_5_mini,E1_ROLE_B_OBSERVABLE,send_if_act_without_check,human_to_model,1.4281332250530974
baseline_gpt_5_mini,E1_ROLE_B_OBSERVABLE,send_if_act_without_check,model_to_human,1.3248261860526722
baseline_gpt_5_mini,E1_ROLE_B_OBSERVABLE,send_if_act_after_check,human_to_model,1.4942508142172608
baseline_gpt_5_mini,E1_ROLE_B_OBSERVABLE,send_if_act_after_check,model_to_human,1.3691679870670863
baseline_gpt_5_mini,E1_ROLE_B_OBSERVABLE,send_if_no_act_without_check,human_to_model,1.3319645218249683
baseline_gpt_5_mini,E1_ROLE_B_OBSERVABLE,send_if_no_act_without_check,model_to_human,1.1767952268156923
baseline_gpt_5_mini,E1_ROLE_B_OBSERVABLE,send_if_no_act_after_check,human_to_model,1.040688270908659
baseline_gpt_5_mini,E1_ROLE_B_OBSERVABLE,send_if_no_act_after_check,model_to_human,1.1304975583158372
baseline_gpt_5_mini,E1_ROLE_B_OBSERVABLE,mean_send_field_kl,human_to_model,1.3237592080009963
baseline_gpt_5_mini,E1_ROLE_B_OBSERVABLE,mean_send_field_kl,model_to_human,1.250321739562822
baseline_gpt_5_mini,E2_ROLE_A_HIDDEN,return_pct,human_to_model,0.10695926594327676
baseline_gpt_5_mini,E2_ROLE_A_HIDDEN,return_pct,model_to_human,0.094071720643471
baseline_gpt_5_mini,E2_ROLE_A_HIDDEN,joint_pattern_distribution,human_to_model,1.7682936304007113
baseline_gpt_5_mini,E2_ROLE_A_HIDDEN,joint_pattern_distribution,model_to_human,1.0949775684303353
baseline_gpt_5_mini,E2_ROLE_A_OBSERVABLE,return_pct,human_to_model,0.211551426311734
baseline_gpt_5_mini,E2_ROLE_A_OBSERVABLE,return_pct,model_to_human,0.25932652650892707
baseline_gpt_5_mini,E2_ROLE_A_OBSERVABLE,joint_pattern_distribution,human_to_model,1.5189897296149992
baseline_gpt_5_mini,E2_ROLE_A_OBSERVABLE,joint_pattern_distribution,model_to_human,0.9612193047404015
baseline_gpt_5_mini,E2_ROLE_B_HIDDEN,send_if_act,human_to_model,1.7550932338459704
baseline_gpt_5_mini,E2_ROLE_B_HIDDEN,send_if_act,model_to_human,2.0806527366584757
baseline_gpt_5_mini,E2_ROLE_B_HIDDEN,send_if_no_act,human_to_model,1.414007665370915
baseline_gpt_5_mini,E2_ROLE_B_HIDDEN,send_if_no_act,model_to_human,1.442590957828261
baseline_gpt_5_mini,E2_ROLE_B_HIDDEN,mean_send_field_kl,human_to_model,1.5845504496084426
baseline_gpt_5_mini,E2_ROLE_B_HIDDEN,mean_send_field_kl,model_to_human,1.7616218472433682
baseline_gpt_5_mini,E2_ROLE_B_OBSERVABLE,send_if_act_without_check,human_to_model,1.5107174993286203
baseline_gpt_5_mini,E2_ROLE_B_OBSERVABLE,send_if_act_without_check,model_to_human,1.6839363645963858
baseline_gpt_5_mini,E2_ROLE_B_OBSERVABLE,send_if_act_after_check,human_to_model,1.2388983980689463
baseline_gpt_5_mini,E2_ROLE_B_OBSERVABLE,send_if_act_after_check,model_to_human,1.3691929629305402
baseline_gpt_5_mini,E2_ROLE_B_OBSERVABLE,send_if_no_act_without_check,human_to_model,1.4351534911765376
baseline_gpt_5_mini,E2_ROLE_B_OBSERVABLE,send_if_no_act_without_check,model_to_human,1.1437894926450474
baseline_gpt_5_mini,E2_ROLE_B_OBSERVABLE,send_if_no_act_after_check,human_to_model,1.130070868269026
baseline_gpt_5_mini,E2_ROLE_B_OBSERVABLE,send_if_no_act_after_check,model_to_human,0.9146237229866612
baseline_gpt_5_mini,E2_ROLE_B_OBSERVABLE,mean_send_field_kl,human_to_model,1.3287100642107825
