metric_family,metric,distance_kind,n_treatments,mean_value,median_value
distribution_distance,mean_send_field_distance,mean_wasserstein_1d,10,2.7485,2.7474999999999996
distribution_distance,mean_process_premium_distance,mean_wasserstein_1d,5,1.8539999999999999,1.7100000000000002
distribution_distance,mean_action_premium_distance,mean_wasserstein_1d,10,3.3810000000000002,3.46
distribution_distance,return_pct,wasserstein_1d,10,11.838000000000001,11.530000000000001
distribution_distance,process_premium_if_act,wasserstein_1d,5,1.884,1.8600000000000003
distribution_distance,process_premium_if_no_act,wasserstein_1d,5,1.8240000000000003,1.7400000000000002
distribution_distance,action_premium,wasserstein_1d,5,3.184,3.1000000000000005
distribution_distance,action_premium_without_check,wasserstein_1d,4,3.8249999999999997,3.76
distribution_distance,action_premium_after_check,wasserstein_1d,4,3.4,3.42
distribution_distance,action_premium_fast,wasserstein_1d,1,3.8600000000000003,3.8600000000000003
distribution_distance,action_premium_slow,wasserstein_1d,1,3.0200000000000005,3.0200000000000005
distribution_distance,send_if_act,wasserstein_1d,5,2.68,2.76
distribution_distance,send_if_act_after_check,wasserstein_1d,4,2.745,2.74
distribution_distance,send_if_act_fast,wasserstein_1d,1,2.9000000000000004,2.9000000000000004
distribution_distance,send_if_act_slow,wasserstein_1d,1,3.5999999999999996,3.5999999999999996
distribution_distance,send_if_act_without_check,wasserstein_1d,4,2.935,2.7300000000000004
distribution_distance,send_if_no_act,wasserstein_1d,5,2.8,2.7600000000000002
distribution_distance,send_if_no_act_after_check,wasserstein_1d,4,2.565,2.6900000000000004
distribution_distance,send_if_no_act_fast,wasserstein_1d,1,2.88,2.88
distribution_distance,send_if_no_act_slow,wasserstein_1d,1,2.06,2.06
distribution_distance,send_if_no_act_without_check,wasserstein_1d,4,2.68,2.8400000000000003
distribution_distance,joint_pattern_distribution,total_variation,10,0.53,0.6300000000000001
mean_alignment_abs_error,act_rate,,10,0.44800000000000006,0.62
mean_alignment_abs_error,check_rate,,8,0.2575,0.24
mean_alignment_abs_error,fast_rate,,2,0.19,0.19
mean_alignment_abs_error,mean_action_premium,,5,1.44,1.5999999999999996
mean_alignment_abs_error,mean_action_premium_after_check,,4,2.03,1.7599999999999998
mean_alignment_abs_error,mean_action_premium_fast,,1,1.1400000000000001,1.1400000000000001
mean_alignment_abs_error,mean_action_premium_slow,,1,2.5,2.5
mean_alignment_abs_error,mean_action_premium_without_check,,4,1.625,1.6500000000000001
mean_alignment_abs_error,mean_fast_premium_if_act,,1,2.14,2.14
mean_alignment_abs_error,mean_fast_premium_if_no_act,,1,0.78,0.78
mean_alignment_abs_error,mean_process_premium_if_act,,4,0.81,0.77
mean_alignment_abs_error,mean_process_premium_if_no_act,,4,0.615,0.55
mean_alignment_abs_error,mean_return_pct,,10,9.154,9.150000000000002
mean_alignment_abs_error,mean_send_if_act,,5,0.8080000000000002,0.8400000000000007
mean_alignment_abs_error,mean_send_if_act_after_check,,4,1.065,1.1199999999999997
mean_alignment_abs_error,mean_send_if_act_fast,,1,0.6600000000000001,0.6600000000000001
mean_alignment_abs_error,mean_send_if_act_slow,,1,2.8,2.8
mean_alignment_abs_error,mean_send_if_act_without_check,,4,1.075,0.9899999999999998
mean_alignment_abs_error,mean_send_if_no_act,,5,0.7040000000000001,0.28000000000000025
mean_alignment_abs_error,mean_send_if_no_act_after_check,,4,1.2650000000000001,1.42
mean_alignment_abs_error,mean_send_if_no_act_fast,,1,0.4800000000000004,0.4800000000000004
mean_alignment_abs_error,mean_send_if_no_act_slow,,1,0.2999999999999998,0.2999999999999998
mean_alignment_abs_error,mean_send_if_no_act_without_check,,4,0.6499999999999998,0.45999999999999974
mean_alignment_abs_error,pattern_checked_act,,8,0.505,0.54
mean_alignment_abs_error,pattern_checked_no_act,,8,0.2475,0.2
mean_alignment_abs_error,pattern_fast_act,,2,0.52,0.52
mean_alignment_abs_error,pattern_fast_no_act,,2,0.33,0.33
mean_alignment_abs_error,pattern_slow_act,,2,0.10999999999999999,0.10999999999999999
mean_alignment_abs_error,pattern_slow_no_act,,2,0.30000000000000004,0.30000000000000004
mean_alignment_abs_error,pattern_unchecked_act,,8,0.1025,0.08
mean_alignment_abs_error,pattern_unchecked_no_act,,8,0.155,0.13
