metric_family,metric,distance_kind,n_treatments,mean_value,median_value
distribution_distance,mean_send_field_distance,mean_wasserstein_1d,10,2.746,2.7199999999999998
distribution_distance,mean_process_premium_distance,mean_wasserstein_1d,5,1.508,1.3399999999999999
distribution_distance,mean_action_premium_distance,mean_wasserstein_1d,10,3.5660000000000003,3.1500000000000004
distribution_distance,return_pct,wasserstein_1d,10,13.338,13.32
distribution_distance,process_premium_if_act,wasserstein_1d,5,1.4680000000000002,1.3600000000000003
distribution_distance,process_premium_if_no_act,wasserstein_1d,5,1.548,1.34
distribution_distance,action_premium,wasserstein_1d,5,3.496,3.1800000000000006
distribution_distance,action_premium_without_check,wasserstein_1d,4,3.75,3.4000000000000004
distribution_distance,action_premium_after_check,wasserstein_1d,4,3.35,2.8499999999999996
distribution_distance,action_premium_fast,wasserstein_1d,1,4.66,4.66
distribution_distance,action_premium_slow,wasserstein_1d,1,3.3000000000000003,3.3000000000000003
distribution_distance,send_if_act,wasserstein_1d,5,2.916,2.9600000000000004
distribution_distance,send_if_act_after_check,wasserstein_1d,4,2.44,2.3499999999999996
distribution_distance,send_if_act_fast,wasserstein_1d,1,3.3000000000000003,3.3000000000000003
distribution_distance,send_if_act_slow,wasserstein_1d,1,3.04,3.04
distribution_distance,send_if_act_without_check,wasserstein_1d,4,2.6399999999999997,2.46
distribution_distance,send_if_no_act,wasserstein_1d,5,2.9240000000000004,2.96
distribution_distance,send_if_no_act_after_check,wasserstein_1d,4,2.21,2.0
distribution_distance,send_if_no_act_fast,wasserstein_1d,1,2.84,2.84
distribution_distance,send_if_no_act_slow,wasserstein_1d,1,2.02,2.02
distribution_distance,send_if_no_act_without_check,wasserstein_1d,4,2.77,2.66
distribution_distance,joint_pattern_distribution,total_variation,10,0.504,0.6599999999999999
mean_alignment_abs_error,act_rate,,10,0.442,0.59
mean_alignment_abs_error,check_rate,,8,0.1825,0.21000000000000002
mean_alignment_abs_error,fast_rate,,2,0.39999999999999997,0.39999999999999997
mean_alignment_abs_error,mean_action_premium,,5,1.8800000000000001,2.2600000000000002
mean_alignment_abs_error,mean_action_premium_after_check,,4,2.27,1.8199999999999998
mean_alignment_abs_error,mean_action_premium_fast,,1,3.3799999999999994,3.3799999999999994
mean_alignment_abs_error,mean_action_premium_slow,,1,2.7399999999999998,2.7399999999999998
mean_alignment_abs_error,mean_action_premium_without_check,,4,2.21,2.05
mean_alignment_abs_error,mean_fast_premium_if_act,,1,0.22000000000000008,0.22000000000000008
mean_alignment_abs_error,mean_fast_premium_if_no_act,,1,0.42,0.42
mean_alignment_abs_error,mean_process_premium_if_act,,4,0.34,0.41000000000000003
mean_alignment_abs_error,mean_process_premium_if_no_act,,4,0.51,0.5599999999999999
mean_alignment_abs_error,mean_return_pct,,10,11.11,10.739999999999998
mean_alignment_abs_error,mean_send_if_act,,5,0.9559999999999998,0.9199999999999999
mean_alignment_abs_error,mean_send_if_act_after_check,,4,0.8699999999999997,0.6999999999999997
mean_alignment_abs_error,mean_send_if_act_fast,,1,2.1400000000000006,2.1400000000000006
mean_alignment_abs_error,mean_send_if_act_slow,,1,1.92,1.92
mean_alignment_abs_error,mean_send_if_act_without_check,,4,0.8699999999999999,0.6000000000000001
mean_alignment_abs_error,mean_send_if_no_act,,5,0.9320000000000002,1.2600000000000007
mean_alignment_abs_error,mean_send_if_no_act_after_check,,4,1.4099999999999997,1.2099999999999995
mean_alignment_abs_error,mean_send_if_no_act_fast,,1,1.2400000000000002,1.2400000000000002
mean_alignment_abs_error,mean_send_if_no_act_slow,,1,0.8199999999999998,0.8199999999999998
mean_alignment_abs_error,mean_send_if_no_act_without_check,,4,1.34,1.4500000000000002
mean_alignment_abs_error,pattern_checked_act,,8,0.4025,0.44000000000000006
mean_alignment_abs_error,pattern_checked_no_act,,8,0.245,0.19
mean_alignment_abs_error,pattern_fast_act,,2,0.72,0.72
mean_alignment_abs_error,pattern_fast_no_act,,2,0.32,0.32
mean_alignment_abs_error,pattern_slow_act,,2,0.11,0.11
mean_alignment_abs_error,pattern_slow_no_act,,2,0.29000000000000004,0.29000000000000004
mean_alignment_abs_error,pattern_unchecked_act,,8,0.0975,0.1
mean_alignment_abs_error,pattern_unchecked_no_act,,8,0.155,0.13
