treatment_name,experiment_code,role,visibility,schema_type,metric,generated_value,human_value,abs_error,generated_n,human_n
E1_ROLE_A_HIDDEN,E1,A,hidden,role_a_check,check_rate,1.0,0.8,0.19999999999999996,50,50
E1_ROLE_A_HIDDEN,E1,A,hidden,role_a_check,act_rate,1.0,0.82,0.18000000000000005,50,50
E1_ROLE_A_HIDDEN,E1,A,hidden,role_a_check,mean_return_pct,49.4,38.38,11.019999999999996,50,50
E1_ROLE_A_HIDDEN,E1,A,hidden,role_a_check,pattern_checked_act,1.0,0.72,0.28,50,50
E1_ROLE_A_HIDDEN,E1,A,hidden,role_a_check,pattern_checked_no_act,0.0,0.08,0.08,50,50
E1_ROLE_A_HIDDEN,E1,A,hidden,role_a_check,pattern_unchecked_act,0.0,0.1,0.1,50,50
E1_ROLE_A_HIDDEN,E1,A,hidden,role_a_check,pattern_unchecked_no_act,0.0,0.1,0.1,50,50
E1_ROLE_A_OBSERVABLE,E1,A,observable,role_a_check,check_rate,0.86,0.62,0.24,50,50
E1_ROLE_A_OBSERVABLE,E1,A,observable,role_a_check,act_rate,1.0,0.9,0.09999999999999998,50,50
E1_ROLE_A_OBSERVABLE,E1,A,observable,role_a_check,mean_return_pct,52.2,41.74,10.46,50,50
E1_ROLE_A_OBSERVABLE,E1,A,observable,role_a_check,pattern_checked_act,0.86,0.6,0.26,50,50
E1_ROLE_A_OBSERVABLE,E1,A,observable,role_a_check,pattern_checked_no_act,0.0,0.02,0.02,50,50
E1_ROLE_A_OBSERVABLE,E1,A,observable,role_a_check,pattern_unchecked_act,0.14,0.3,0.15999999999999998,50,50
E1_ROLE_A_OBSERVABLE,E1,A,observable,role_a_check,pattern_unchecked_no_act,0.0,0.08,0.08,50,50
E1_ROLE_B_HIDDEN,E1,B,hidden,role_b_hidden_check,mean_send_if_act,6.26,5.76,0.5,50,50
E1_ROLE_B_HIDDEN,E1,B,hidden,role_b_hidden_check,mean_send_if_no_act,3.28,3.26,0.020000000000000018,50,50
E1_ROLE_B_HIDDEN,E1,B,hidden,role_b_hidden_check,mean_action_premium,2.98,2.5,0.48,50,50
E1_ROLE_B_OBSERVABLE,E1,B,observable,role_b_observable_check,mean_send_if_act_without_check,7.46,7.0,0.45999999999999996,50,50
E1_ROLE_B_OBSERVABLE,E1,B,observable,role_b_observable_check,mean_send_if_act_after_check,6.66,6.68,0.019999999999999574,50,50
E1_ROLE_B_OBSERVABLE,E1,B,observable,role_b_observable_check,mean_send_if_no_act_without_check,2.44,3.58,1.1400000000000001,50,50
E1_ROLE_B_OBSERVABLE,E1,B,observable,role_b_observable_check,mean_send_if_no_act_after_check,1.82,3.3,1.4799999999999998,50,50
E1_ROLE_B_OBSERVABLE,E1,B,observable,role_b_observable_check,mean_action_premium_without_check,5.02,3.42,1.5999999999999996,50,50
E1_ROLE_B_OBSERVABLE,E1,B,observable,role_b_observable_check,mean_action_premium_after_check,4.84,3.38,1.46,50,50
E1_ROLE_B_OBSERVABLE,E1,B,observable,role_b_observable_check,mean_process_premium_if_act,0.8,0.32,0.48000000000000004,50,50
E1_ROLE_B_OBSERVABLE,E1,B,observable,role_b_observable_check,mean_process_premium_if_no_act,0.62,0.28,0.33999999999999997,50,50
E2_ROLE_A_HIDDEN,E2,A,hidden,role_a_check,check_rate,1.0,0.74,0.26,50,50
E2_ROLE_A_HIDDEN,E2,A,hidden,role_a_check,act_rate,1.0,0.3,0.7,50,50
E2_ROLE_A_HIDDEN,E2,A,hidden,role_a_check,mean_return_pct,51.6,44.02,7.579999999999998,50,50
E2_ROLE_A_HIDDEN,E2,A,hidden,role_a_check,pattern_checked_act,1.0,0.26,0.74,50,50
E2_ROLE_A_HIDDEN,E2,A,hidden,role_a_check,pattern_checked_no_act,0.0,0.48,0.48,50,50
E2_ROLE_A_HIDDEN,E2,A,hidden,role_a_check,pattern_unchecked_act,0.0,0.04,0.04,50,50
E2_ROLE_A_HIDDEN,E2,A,hidden,role_a_check,pattern_unchecked_no_act,0.0,0.22,0.22,50,50
E2_ROLE_A_OBSERVABLE,E2,A,observable,role_a_check,check_rate,1.0,0.62,0.38,50,50
E2_ROLE_A_OBSERVABLE,E2,A,observable,role_a_check,act_rate,0.98,0.38,0.6,50,50
E2_ROLE_A_OBSERVABLE,E2,A,observable,role_a_check,mean_return_pct,54.8,41.64,13.159999999999997,50,50
E2_ROLE_A_OBSERVABLE,E2,A,observable,role_a_check,pattern_checked_act,0.98,0.3,0.6799999999999999,50,50
E2_ROLE_A_OBSERVABLE,E2,A,observable,role_a_check,pattern_checked_no_act,0.02,0.32,0.3,50,50
E2_ROLE_A_OBSERVABLE,E2,A,observable,role_a_check,pattern_unchecked_act,0.0,0.08,0.08,50,50
