metric_family,metric,distance_kind,n_treatments,mean_value,median_value
distribution_distance,mean_send_field_distance,mean_wasserstein_1d,10,2.4085,2.4175
distribution_distance,mean_process_premium_distance,mean_wasserstein_1d,5,1.7420000000000002,1.7400000000000002
distribution_distance,mean_action_premium_distance,mean_wasserstein_1d,10,2.987,3.065
distribution_distance,return_pct,wasserstein_1d,10,9.922,9.600000000000001
distribution_distance,process_premium_if_act,wasserstein_1d,5,1.7040000000000002,1.3800000000000001
distribution_distance,process_premium_if_no_act,wasserstein_1d,5,1.78,1.6800000000000002
distribution_distance,action_premium,wasserstein_1d,5,3.004,2.8
distribution_distance,action_premium_without_check,wasserstein_1d,4,3.185,3.35
distribution_distance,action_premium_after_check,wasserstein_1d,4,2.625,2.55
distribution_distance,action_premium_fast,wasserstein_1d,1,3.8,3.8
distribution_distance,action_premium_slow,wasserstein_1d,1,2.6600000000000006,2.6600000000000006
distribution_distance,send_if_act,wasserstein_1d,5,2.7600000000000002,2.54
distribution_distance,send_if_act_after_check,wasserstein_1d,4,2.19,2.29
distribution_distance,send_if_act_fast,wasserstein_1d,1,2.22,2.22
distribution_distance,send_if_act_slow,wasserstein_1d,1,3.4000000000000004,3.4000000000000004
distribution_distance,send_if_act_without_check,wasserstein_1d,4,2.395,2.39
distribution_distance,send_if_no_act,wasserstein_1d,5,2.156,2.02
distribution_distance,send_if_no_act_after_check,wasserstein_1d,4,2.485,2.36
distribution_distance,send_if_no_act_fast,wasserstein_1d,1,1.9400000000000002,1.9400000000000002
distribution_distance,send_if_no_act_slow,wasserstein_1d,1,1.9,1.9
distribution_distance,send_if_no_act_without_check,wasserstein_1d,4,2.36,2.38
distribution_distance,joint_pattern_distribution,total_variation,10,0.316,0.31000000000000005
