scenario_hash,global_count,target_pair_count,candidate_count,left_stay_count,left_swerve_count,gold_a_count,gold_b_count
36036f518e82eccca01a0eef133b5e75,25872,22485,2321,1258,1063,1136,1185
3fe05ffd77c1035b31afc74d4707772e,25765,22399,2229,1215,1014,1073,1156
a121064b5297f135808ea2f0c17843d0,25742,22350,2400,1302,1098,1256,1144
acfec2d5b57f36619c3db73768def157,25541,22179,2257,1208,1049,1167,1090
c55e348b5da3928fc12a45b370e7611f,25516,22157,2297,1172,1125,1170,1127
315628bbd8130d1fd2fc5fbf1ee7604b,25476,22170,2269,1238,1031,1223,1046
2ea9bc96836b52b20015d5aa83de37ad,25427,22106,2259,1202,1057,1119,1140
b3b0b55b248b225bc05f8005c215cca6,25307,21916,2326,1278,1048,1295,1031
c990d2973cbe75633f5630689d16b050,17621,15362,1643,850,793,854,789
ae539fd4158c5cbf5e5635085930d412,17316,15028,1547,827,720,831,716
8438349e35ea65069625edddd52af96a,17282,14986,1574,859,715,756,818
fa5312d6d4d9ab53fe9f933029c58b67,17226,14964,1546,811,735,780,766
68f34fdd904338799cc82431fcf5c4ad,17224,15046,1536,841,695,723,813
178a4ad0eb24ebd1b5a266880d24c47d,17210,14960,1563,865,698,783,780
c5bcd476c5b67c94730a4ac29600565b,17199,14971,1571,853,718,803,768
be7cb3cd5a62c89f928ef2c6247e6063,17198,14953,1660,965,695,959,701
09d1fe9f0da9b572a91e67f492369538,17136,14870,1482,797,685,747,735
77a76c25e1470b915257b9dc879cda26,17132,14814,1554,858,696,822,732
f7a0546a2fa54119593dec3e4406e135,17106,14884,1537,864,673,810,727
2925106b8d39a2daf4ac9515d7e6302a,17101,14952,1541,844,697,763,778
dc392be2ef2f0e0306cf39324f2f372f,17062,14767,1548,839,709,837,711
2f2c7f336ec11a8cefc39f15069c4fd5,17047,14807,1545,854,691,838,707
0ca24cd58cdf0faeec82c043821094dc,17011,14822,1526,774,752,775,751
a6d1ea9ffa14fb945cbfb1987b9ea8ca,16962,14729,1543,831,712,758,785
290aaba99e16d4041861909647e6ff4e,14995,12976,1361,747,614,720,641
57f2f3f1620ea7cadb3a45a62c948db0,14983,13086,1295,660,635,663,632
0205c1ee69c9f923c1b7a1e71b3e5963,14824,12760,1369,790,579,772,597
ea2b354634993cdac66fa6f859c0068e,14807,12847,1394,734,660,731,663
7c5eb9f0e9c6bb257050569d1264ea4a,14790,12796,1345,714,631,724,621
0b95430cf4c222adf9f5a842d0a6546f,14769,12779,1325,700,625,691,634
3b93b24d35338bb577169344973e079e,14760,12796,1308,679,629,636,672
658ada3062c37295a6befb570d209548,14760,12849,1295,698,597,703,592
1de59853b82d8b8ffeb21679ff2e677d,14644,12733,1345,687,658,663,682
1f19e7f9ae9fcb941276e4822b3b3a68,14631,12718,1394,753,641,762,632
bb91b89f765765ce0982a3c621ee1d99,14626,12711,1354,705,649,682,672
adc5741ef7d135c4bdabe548792ec703,14570,12607,1331,744,587,685,646
f2d3245b01c063e4d1096b26d9921826,14557,12578,1326,730,596,711,615
5c8c7479a5ebc4a2d9b524be2e1451eb,14526,12623,1302,667,635,631,671
d881db7ecaca8f1cf95ccf54ca82d3e2,13680,11968,1170,659,511,607,563
38049abc7d37e2cacb0bd5946e956cce,13357,11665,1140,615,525,621,519
cf74956998927190759a19a9f27cca1c,13006,11259,1239,636,603,629,610
177b0905a5980959cf38d569e4f9c7fe,12951,11266,1152,637,515,623,529
29491ff886e46d484657ddcea7f72297,12946,11254,1125,623,502,520,605
60298a3a0af4e1efe84b4646e5214fcd,12918,11154,1141,581,560,572,569
c206763910365d41d0fc71c7580c6043,12888,11256,1187,628,559,620,567
21e60cb66fb9cc874a033c56cf158a9b,12872,11238,1206,657,549,635,571
79c59073a50d6348bdf97d0b34f214ea,12863,11156,1173,632,541,638,535
697927bab188ef452432817a12f11728,12860,11156,1162,639,523,630,532
8aa4bb7e1b24ee37fc401c9a01c1cf25,12840,11168,1090,587,503,564,526
600c89522f1f7167052322cc016b4f97,12830,11140,1107,586,521,584,523
11dd9a53601cabacd4eec0668053e515,12821,11141,1147,622,525,624,523
8ad21c0d2b73621870c049ce8961a6d6,12819,11136,1208,630,578,592,616
15a88991e22d59dbb6d745694d5a522f,12803,11160,1240,653,587,635,605
d1949bd05782cf154d2f7a9a4ac8841a,12801,11092,1188,624,564,624,564
9d8468cc906db2cb7c6a2365ced65bcc,12798,11120,1131,636,495,637,494
5a5f61daf68d6fb6c41d66b5b4ac76d2,12796,11212,1191,628,563,598,593
ac6d88a9168648a2f7afc3aad00c7b56,12786,11132,1185,631,554,630,555
e8bcad3ad064da201e0804c259112303,12740,11082,1118,599,519,525,593
f85361318cebd5d73c6d046c6a64ffe1,12740,11023,1189,633,556,618,571
46cec61da948a5798024bcfc7ab7737d,12708,10976,1191,661,530,557,634
2833e281fb9c21f930a613e3d21906ad,12696,11006,1139,633,506,526,613
ffaf426a31ff53d4d7698292978d817f,12653,11001,1145,634,511,536,609
57b635852ad54f8541552a5f6e71dbb0,11597,10076,1032,562,470,540,492
44fe3937250ade7da89b139ad5d4568c,11511,10026,1006,538,468,495,511
3e0c5465a62a205260ee74a0071a1b5a,11444,9909,1053,580,473,555,498
6f3de36a8dca725f5e5c7c821a25c2e3,11438,9966,1056,581,475,499,557
af1ecc4748b89e799b89b9fc4f035175,11403,9930,1043,576,467,527,516
e4cf7ee350c9036203166165fca9f95d,11393,9884,1063,575,488,543,520
df3b5a305483e45022f39329245535fc,11342,9921,991,532,459,503,488
42da6f052586a1bb2343fd93c2cfd098,11238,9799,1034,569,465,510,524
a3d54dd408bcbde97398ad443aee2d6d,10789,9418,958,520,438,496,462
0d7d635efcf87f111b3aedc7ae87090d,10774,9335,989,526,463,471,518
47ff10003e1cf5ae5bc5187cf16a53bb,10769,9404,934,519,415,411,523
d770fde4f23ba47b8f738a410622b44e,10748,9344,947,496,451,446,501
da0f242ac407177b23c2f03477707383,10722,9257,928,501,427,455,473
6dfd2a42768065eb9eca222c2ec78fb5,10712,9304,944,507,437,434,510
ab459e8ad43c894a308a1d6f7c02f3bd,10686,9188,961,509,452,468,493
6a735cb05a4f2ec78bdc8b4e7b01e498,10668,9242,946,498,448,493,453
f31aa671c54164721a10f47b954eb64c,10658,9225,957,546,411,459,498
00c9d606a39e1c48b8ec9c414379b769,10648,9236,978,540,438,493,485
7a5fc84e4231ff78a0db5cdc5654ba3c,10644,9287,1003,556,447,529,474
7b098f9e80b9ec88bbdb8f82acb29856,10631,9335,940,518,422,487,453
331172c6ff413e6093566be253c90f07,10602,9175,957,537,420,504,453
7895fe3e515a5e8039638505065b2da9,10599,9207,966,511,455,506,460
787f9b6cf19df72165738c9c7ac9155a,10598,9285,1006,485,521,501,505
332ed3412c6dde783cfc00def8484ea0,10560,9206,945,479,466,478,467
