Cohort,Stage ID,Round,Turn (player number),Turn (sender ID),Turn (sender name),Turn (avatar),Offer (timestamp),Buy offer (RED),Buy offer (BLUE),Buy offer (GREEN),Sell offer (RED),Sell offer (BLUE),Sell offer (GREEN),Offer status,Offer recipient,Sender payout before turn,Sender payout after turn,Recipient payout before turn,Recipient payout after turn,player 1,player 2,player 3,player 1 (is sender),player 1 (is selected recipient),player 1 offer timestamp,player 1 offer response,player 1 RED before turn,player 1 RED after turn,player 1 BLUE before turn,player 1 BLUE after turn,player 1 GREEN before turn,player 1 GREEN after turn,player 1 RED value,player 1 BLUE value,player 1 GREEN value,player 1 payout before turn,player 1 payout after turn,player 2 (is sender),player 2 (is selected recipient),player 2 offer timestamp,player 2 offer response,player 2 RED before turn,player 2 RED after turn,player 2 BLUE before turn,player 2 BLUE after turn,player 2 GREEN before turn,player 2 GREEN after turn,player 2 RED value,player 2 BLUE value,player 2 GREEN value,player 2 payout before turn,player 2 payout after turn,player 3 (is sender),player 3 (is selected recipient),player 3 offer timestamp,player 3 offer response,player 3 RED before turn,player 3 RED after turn,player 3 BLUE before turn,player 3 BLUE after turn,player 3 GREEN before turn,player 3 GREEN after turn,player 3 RED value,player 3 BLUE value,player 3 GREEN value,player 3 payout before turn,player 3 payout after turn
g1-m5wp46,First negotiation game-negotiation1,0,0,bear-yellow-1294,Bear,🐻,2025-01-14 08:53:14.000,10,0,0,0,10,0,ACCEPTED,ram-blue-9899,18,25,23,25,bear-yellow-1294,goose-green-2832,ram-blue-9899,true,false,n/a,n/a,10,20,10,0,10,10,1,0.30000000000000004,0.5,18,25,false,false,2025-01-14 08:53:28.000,false,10,10,10,10,10,10,1,0.2,0.5,17,17,false,true,2025-01-14 08:53:23.000,true,10,0,10,20,10,10,0.8,1,0.5,23,25
g1-m5wp46,First negotiation game-negotiation1,0,1,goose-green-2832,Goose,🪿,2025-01-14 08:53:52.000,7,0,0,0,7,0,DECLINED,,17,17,,,bear-yellow-1294,goose-green-2832,ram-blue-9899,false,false,2025-01-14 08:54:07.000,false,20,20,0,0,10,10,1,0.30000000000000004,0.5,25,25,true,false,n/a,n/a,10,10,10,10,10,10,1,0.2,0.5,17,17,false,false,2025-01-14 08:53:59.000,false,0,0,20,20,10,10,0.8,1,0.5,25,25
g1-m5wp46,First negotiation game-negotiation1,0,2,ram-blue-9899,Ram,🐏,2025-01-14 08:54:34.000,0,5,0,0,0,5,ACCEPTED,goose-green-2832,25,27.5,17,18.5,bear-yellow-1294,goose-green-2832,ram-blue-9899,false,false,2025-01-14 08:54:53.000,false,20,20,0,0,10,10,1,0.30000000000000004,0.5,25,25,false,true,2025-01-14 08:54:43.000,true,10,10,10,5,10,15,1,0.2,0.5,17,18.5,true,false,n/a,n/a,0,0,20,25,10,5,0.8,1,0.5,25,27.5
g1-m5wp46,First negotiation game-negotiation1,1,0,bear-yellow-1294,Bear,🐻,2025-01-14 08:55:09.000,10,0,0,0,0,10,DECLINED,,25,25,,,bear-yellow-1294,goose-green-2832,ram-blue-9899,true,false,n/a,n/a,20,20,0,0,10,10,1,0.30000000000000004,0.5,25,25,false,false,2025-01-14 08:55:18.000,false,10,10,5,5,15,15,1,0.2,0.5,18.5,18.5,false,false,2025-01-14 08:55:12.000,false,0,0,25,25,5,5,0.8,1,0.5,27.5,27.5
g1-m5wp46,First negotiation game-negotiation1,1,1,goose-green-2832,Goose,🪿,2025-01-14 08:55:39.000,0,0,5,0,5,0,ACCEPTED,ram-blue-9899,18.5,20,27.5,30,bear-yellow-1294,goose-green-2832,ram-blue-9899,false,false,2025-01-14 08:55:44.000,false,20,20,0,0,10,10,1,0.30000000000000004,0.5,25,25,true,false,n/a,n/a,10,10,5,0,15,20,1,0.2,0.5,18.5,20,false,true,2025-01-14 08:55:43.000,true,0,0,25,30,5,0,0.8,1,0.5,27.5,30
g1-m5wp46,First negotiation game-negotiation1,1,2,ram-blue-9899,Ram,🐏,2025-01-14 08:55:58.000,0,0,2,0,1,0,DECLINED,,30,30,,,bear-yellow-1294,goose-green-2832,ram-blue-9899,false,false,2025-01-14 08:56:04.000,false,20,20,0,0,10,10,1,0.30000000000000004,0.5,25,25,false,false,2025-01-14 08:56:09.000,false,10,10,0,0,20,20,1,0.2,0.5,20,20,true,false,n/a,n/a,0,0,30,30,0,0,0.8,1,0.5,30,30
g1-m5wp46,First negotiation game-negotiation1,2,0,bear-yellow-1294,Bear,🐻,2025-01-14 08:56:27.000,10,0,0,0,0,10,DECLINED,,25,25,,,bear-yellow-1294,goose-green-2832,ram-blue-9899,true,false,n/a,n/a,20,20,0,0,10,10,1,0.30000000000000004,0.5,25,25,false,false,2025-01-14 08:56:36.000,false,10,10,0,0,20,20,1,0.2,0.5,20,20,false,false,2025-01-14 08:56:30.000,false,0,0,30,30,0,0,0.8,1,0.5,30,30
g1-m5wp46,First negotiation game-negotiation1,2,1,goose-green-2832,Goose,🪿,2025-01-14 08:56:50.000,5,0,0,0,0,5,DECLINED,,20,20,,,bear-yellow-1294,goose-green-2832,ram-blue-9899,false,false,2025-01-14 08:56:56.000,false,20,20,0,0,10,10,1,0.30000000000000004,0.5,25,25,true,false,n/a,n/a,10,10,0,0,20,20,1,0.2,0.5,20,20,false,false,2025-01-14 08:56:59.000,false,0,0,30,30,0,0,0.8,1,0.5,30,30
g1-m5wp46,First negotiation game-negotiation1,2,2,ram-blue-9899,Ram,🐏,2025-01-14 08:57:09.000,0,0,5,0,2,0,DECLINED,,30,30,,,bear-yellow-1294,goose-green-2832,ram-blue-9899,false,false,2025-01-14 08:57:13.000,false,20,20,0,0,10,10,1,0.30000000000000004,0.5,25,25,false,false,2025-01-14 08:57:15.000,false,10,10,0,0,20,20,1,0.2,0.5,20,20,true,false,n/a,n/a,0,0,30,30,0,0,0.8,1,0.5,30,30
g1-m5wp46,Second negotiation game-negotiation2_alternate_profile,0,0,bear-yellow-1294,Bear,🐻,2025-01-14 08:58:10.000,0,10,0,10,0,0,DECLINED,,17,17,,,bear-yellow-1294,goose-green-2832,ram-blue-9899,true,false,n/a,n/a,10,10,10,10,10,10,0.2,1,0.5,17,17,false,false,2025-01-14 08:58:19.000,false,10,10,10,10,10,10,0.8,0.8,0.5,21,21,false,false,2025-01-14 08:58:12.000,false,10,10,10,10,10,10,0.5,0.8,0.5,18,18
