Private ID,Public ID,Prolific ID,Name,Avatar,Pronouns,Current status,Current stage ID,Current cohort ID,Transfer cohort ID,Start experiment timestamp,End experiment timestamp,Accepted TOS timestamp,Payout earned if stage completed - Payout from game 1 (one game was randomly selected) (f04f6394-e73e-4e5a-bc8b-d5aa5e1c26e2) - Stage random_payout,Payout earned if stage completed - Payout from game 2 (one game was randomly selected) (6e69028d-4e63-4c03-b60d-ef236e040bd7) - Stage random_payout,Total payout - Stage random_payout,Please describe your strategy in the game in a few sentences. - Survey survey,Please describe any experiences or background that may have influenced your performance in the game. - Survey survey,On a scale from 1 to 10 how would you rate your trading strategy where 1 is highly **competitive** (focused mainly on your own gains) and 10 is highly **collaborative** (focused on other players's potential gains and mutual benefits? - Survey survey,On a scale from 1 to 10 how certain are you that you made the best possible trades during the experiment? - Survey survey,On a scale from 1 to 10 how satisfied are you with your final trading outcomes? - Survey survey,On a scale of 1 to 10 how would you rate the mental effort you put into today's trading games where 1 means 'I barely engaged in any thinking' and 10 means 'I put in significant mental effort'? - Survey survey,Please provide any additional context on your answers above. - Survey survey,Please help us to improve this experiment. How was your experience today? Were there any elements of the instructions or gameplay that you found confusing? - Survey survey
0128b85c-cc71-4952-9d4f-4f4247f5355e,bear-red-1079,67d492a04d7b1882b67270a9,Bear,🐻,,SUCCESS,survey,m8aboy0a-gdk7n7,,2025-03-15 07:44:07.000,2025-03-15 08:24:13.000,2025-03-15 07:44:14.000,,0,3,not making a loss,making a profit,8,8,10,8,it entails calculations,no
09618a39-270f-4636-bca6-0a867aed1b41,swan-purple-7217,6022e90eaccb290e2f1b07a2,Swan,🦢,,SUCCESS,survey,m8acrp8w-8rgxk5,,2025-03-15 08:15:08.000,2025-03-15 08:55:35.000,2025-03-15 08:15:14.000,0,,3.3,giving more at a lower value,none,7,9,9,8,easy once I had done it a couple of times,took a long time waiting
18d47471-7092-4704-9709-e2b3a529f312,turtle-pink-5956,67a4a93bf7d2686f11d3a28b,Turtle,🐢,,SUCCESS,survey,m8ad5n9z-7nnatx,,2025-03-15 08:29:11.000,2025-03-15 08:50:02.000,2025-03-15 08:28:47.000,0,,2,I tried to make choices that would gain me the biggest payout,I'm used to making choices that benefit me,1,8,2,8,I simple went with my gutt instincts,The study was quite simple to do
24011b86-577b-46e6-8e01-118bf424b24a,badger-purple-8825,6346e2da58119734e201d767,Badger,🦡,,SUCCESS,survey,m8aboy0f-h8qvm2,,2025-03-15 07:55:01.000,2025-03-15 08:17:04.000,2025-03-15 07:55:16.000,,0,0,have more chips in the end,nothing ,6,5,4,7,N/A,no further comments
31a69b08-04ca-4d6c-941d-72dcfa750092,squid-red-8346,6295b064f01df59a15157dfc,Squid,🦑,,SUCCESS,survey,m8aboy0j-rylo4v,,2025-03-15 08:01:31.000,2025-03-15 08:20:50.000,2025-03-15 08:01:37.000,,0,2.28,I tried to trade for my highest or second highest chip values.,No background experience helped me!,7,7,8,9,I gave it quite a thought without taking too much time.,No it was very clear and fun to play.
3ef4fb35-a09f-4001-97cb-264b74aad64a,butterfly-orange-8262,665a041f9109fd24162c4492,Butterfly,🦋,,SUCCESS,survey,m8aboy0o-rjk5ag,,2025-03-15 08:04:35.000,2025-03-15 08:40:57.000,2025-03-15 08:04:46.000,0,,0,My strategy was to evaluate each trade offer carefully based on the value of the chips I had and the chips being offered. I aimed to make trades that would either maintain or slightly increase my chip value. I focused on trading chips that I valued less for those I valued more while also considering the trades being made by others. I tried to avoid losing too much value in the trades while keeping an eye on how others were playing to ensure I didn't fall behind.,I have some experience with strategic decision-making in competitive settings which helped me evaluate the pros and cons of each trade. Additionally I considered that I wanted to make gradual small gains rather than risk large losses. This mindset likely influenced my cautious approach to trades prioritizing chip value over rapid expansion.,5,7,6,8,While I felt confident about my trades during the game I recognize that some decisions might not have been the best. The dynamic nature of the trading where everyone has different goals and values made it challenging to predict how others would react. That said I did try to maintain a balanced approach to my trades aiming for steady improvements without risking too much at once.,Overall the experience was enjoyable and the gameplay was straightforward once I got into it. However I did find the concept of trade value and how it fluctuated with different chip values a bit tricky at first. A clearer explanation of how the random chip values work or a practice round before the actual game would have been helpful. Additionally it would be great to know if there's any strategy to anticipate what other players might value more or how they might respond as this would add an extra layer to the decision-making process.
47175f41-475a-408d-ba47-03ee725f55bd,buffalo-green-3116,6669d421e993b0f2423c83b8,Buffalo,🐃,,SUCCESS,survey,m8aboy0a-gdk7n7,,2025-03-15 07:49:12.000,2025-03-15 08:22:32.000,2025-03-15 07:49:34.000,0,,1.7,i just made  sure that for every colour i offered there must be profit for me ,i sold something so i made sure there are profit for me ,9,10,9,9,nothing ,i love the game it made me think harder and faster
5096f84e-3fc8-4215-83d3-0dfd683f3636,goose-orange-349,67d2dd414efbdc6b8b24776c,Goose,🪿,,SUCCESS,survey,m8aboy0o-rjk5ag,,2025-03-15 07:48:15.000,2025-03-15 08:45:04.000,2025-03-15 07:48:28.000,0,,2.1,get chips with the highest value,good negotiation skills,8,9,7,9,the players were engaging in the game,The experience was good the gameplay was not confusing
56ede0f0-5d45-4802-a1ae-b51676fd1881,owl-red-4188,5a0c036857cee70001767a58,Owl,🦉,,SUCCESS,survey,m8aboy0s-fed50g,,2025-03-15 08:07:39.000,2025-03-15 08:51:25.000,2025-03-15 08:07:43.000,0,,3.39,Trying to gain the highest number of high value chips and getting rid of the lower value chips,Game seem to run very slowly with long waits for the other participants to answer,2,2,3,7,None,Game took longer than stated 30 minutes
575f1be7-c9c1-46a2-9e73-32f73acd1faa,kangaroo-red-5113,5d542c3a5af5900019bc80c4,Kangaroo,🦘,,SUCCESS,survey,m8ad4g6q-jw3gy1,,2025-03-15 08:25:06.000,2025-03-15 08:47:42.000,2025-03-15 08:25:14.000,0,,11.29,working out which chips were high value for the other players and making offers accordingly,none,3,6,7,8,none,instructions were very clear!
640d6f45-da3f-483d-a691-936f81e833a4,alligator-yellow-2825,5ccd7ddc629bea0013d89f42,Alligator,🐊,,SUCCESS,survey,m8aboy0j-rylo4v,,2025-03-15 08:07:30.000,2025-03-15 08:22:10.000,2025-03-15 08:07:39.000,0,,1.69,I was attempting to trade the least value for either one of the higher values to see which one was easier to trade. Eg. my last game purple was least valuable for me but blue was valuabel. I knew that another person wanted purple and didnt want blue so I traded that offer for profit ,Its a simple game I doubt experince would help maybe in gambling or risk to benefit critical thinking,1,7,7,5,I believe my stragety was correctly explained ,Try to have more images in the explanation phase
64866801-4f6d-40c7-a8ae-802411e8a86a,peacock-yellow-3297,5df6c8bd77f8654c718ee1d9,Peacock,🦚,,SUCCESS,survey,m8aboy0j-rylo4v,,2025-03-15 07:56:36.000,2025-03-15 08:21:23.000,2025-03-15 07:56:47.000,0,,5.3,trading low value chips for higher value ones,no influence or specific background,9,8,8,7,it was a fun game but I had to do some mental calculations,instructions were very clear
6516a040-0894-45ba-8652-eaf698753c7f,camel-yellow-4406,609d1ddf6aa3ba55f1bf4267,Camel,🐪,,SUCCESS,survey,m8aboy0f-h8qvm2,,2025-03-15 07:59:03.000,2025-03-15 08:17:27.000,2025-03-15 07:59:21.000,0,,3.8,try to gain more cash,none,5,9,8,9,it was a good game but required to stay focused,it was straight forward
65993bb5-97e9-4305-8bb6-faa1ccb5f1c1,hamster-red-132,652ae1c211e93aef170d6984,Hamster,🐹,,SUCCESS,survey,m8ad5n9z-7nnatx,,2025-03-15 08:24:41.000,2025-03-15 08:50:41.000,2025-03-15 08:25:01.000,,0,5.8,I was trying to see what the others were betting for as it would be higher for them ,I sometimes got carried away and didn’t look what chips the others had,2,1,7,7,Should have thought more,Loved the game
6c8c7b74-9181-4ba7-806d-38e018111778,whale-purple-6500,5993260f4f3a820001fb39a7,Whale,🐳,,SUCCESS,survey,m8aboy0s-fed50g,,2025-03-15 08:13:14.000,2025-03-15 08:50:56.000,2025-03-15 08:13:39.000,,0,4.79,maximise gain,was decent at maths at school,9,2,7,6,n/a,enjoyed it
72bcaed9-abdb-48c3-97c6-deaf39f36f43,frog-orange-8868,671945415306a21c2c56a562,Frog,🐸,,SUCCESS,survey,m8ad4g6q-jw3gy1,,2025-03-15 08:24:13.000,2025-03-15 08:48:19.000,2025-03-15 08:25:31.000,,0,3.39,I tried to make the deal look more profitable but was in fact better for me. ,Construction tenders,10,10,10,10,It was a fun game,No
76e9d553-d12e-469a-a1bf-50bc4fb29d4f,elephant-blue-3237,5d29c671bc573b00165c9014,Elephant,🐘,,SUCCESS,survey,m8ad5n9z-7nnatx,,2025-03-15 08:25:21.000,2025-03-15 08:59:17.000,2025-03-15 08:26:17.000,,0,10.89,My strategy was to try and get rid of my lowest value chips by trading them for the highest value chips with other participants. If an offer for a trade was proposed and it was not beneficial I did not accept.,I don't think there are any experiences or background that influenced my performance in the game.,1,10,10,6,I would say my trading strategy was entirely focused on my own gains. I didn't think about the other participants and their potential gains and I assumed that the other participants acted and thought the same way as I did. I am very confident that I made the best possible trades during the experiment because they led to a good outcome that I am happy with. I also can't think of a better strategy to use than the one I did. I have rated the mental effort I put into the trading games as 6 because while my strategy involved thought it did not require me to put in a significant amount of mental effort.,I found the experience to be pleasant and quite fun. There weren't any elements of the instructions or the gameplay that I found confusing.
99962f4e-7372-4c63-b797-2e922e771715,zebra-red-3364,67d1562cd49c05d8656e1ea2,Zebra,🦓,,SUCCESS,survey,m8acrp8w-8rgxk5,,2025-03-15 08:15:05.000,2025-03-15 08:57:11.000,2025-03-15 08:15:28.000,0,,4.89,I sold my lowly valued chips to the ones valued highly.,By checking what people accepted and refused I knew how to give offers or end them.,10,6,7,10,This game gives advantage to the first person who makes an offer.,Let the player calculate his own profits not the game
a1575fe1-430a-4074-a151-f44d63b75439,otter-orange-6095,5dd6687cef41975ecf946fb0,Otter,🦦,,SUCCESS,survey,m8aboy0f-h8qvm2,,2025-03-15 07:55:47.000,2025-03-15 08:18:06.000,2025-03-15 07:55:51.000,,0,2.69,To offer chips of low value to me in exchange for higher value chips - hopefully others will have opposite values,Just basic financial knowledge,9,8,9,8,I only thought about my money,I had to wait for other participants
b260b51c-6602-4a8d-8f28-ab79f64ca1ac,dolphin-purple-5083,5b54b7ae2680970001a9a7d3,Dolphin,🐬,,SUCCESS,survey,m8aboy0s-fed50g,,2025-03-15 08:08:41.000,2025-03-15 08:50:30.000,2025-03-15 08:08:53.000,0,,0,I just tried to get as rid of as many lowest value chips in return for highest value chips,I don't really know.,0,4,4,7,None,I really enjoyed it it would be better if there was a coundown to see how long is left when waiting for an offer to be accepted as I kept thinking the study had frozen (it hadn't)
c566e3d5-bff4-4263-84d6-24fef37aee25,dog-orange-6132,5c9f8113192c1c0012f3bf2f,Dog,🐶,,SUCCESS,survey,m8aboy0a-gdk7n7,,2025-03-15 07:50:47.000,2025-03-15 08:21:06.000,2025-03-15 07:50:59.000,0,,2.68,I tried to make reasonable offers- nothing crazy that I wouldn't expect anyone to take. I also tried to somewhat deduce what colour tokens the other players wanted based on the trades they proposed to try and maximise my success in having accepted trades.,Nothing ,3,4,5,8,I tried to be calculated with my trades but not aggressive I wanted to maximise earnings for all of us.,No it was great
d156eaed-eb00-4cdb-9878-65ef9666c7c0,unicorn-yellow-3690,6150211a925e04bf1277e3fe,Unicorn,🦄,,SUCCESS,survey,m8ad4g6q-jw3gy1,,2025-03-15 08:26:12.000,2025-03-15 08:49:07.000,2025-03-15 08:26:21.000,0,,5.49,I check which chips each person is requesting more often and also which chips they seem to be lacking to determine which chips are less important to them (and worth less in their eyes). I analyse how much my own chips cost and work out which ones I can part with/which are more likely to be accepted or sought after.,I have played a few card games before but this is it.,2,8,8,10,I worked to get myself the best possible outcome.,It was fun
d336b86e-25b8-4ecb-a96e-a0c4a10beea1,ram-red-1301,67320610635afc65498583cb,Ram,🐏,,SUCCESS,survey,m8aboy0o-rjk5ag,,2025-03-15 08:06:58.000,2025-03-15 08:40:17.000,2025-03-15 08:07:00.000,,0,7,try to keep in profit as much as possible,nothing influenced me ,6,4,8,7,It was an interesting experiment. Especially knowing what they had but not the value. ,It was easy to understand for the majority
e818df0a-217f-44a4-9b44-c7fcdf2d290d,pig-green-499,558996f2fdf99b7ae47f5ed2,Pig,🐷,,SUCCESS,survey,m8acrp8w-8rgxk5,,2025-03-15 08:22:08.000,2025-03-15 08:57:09.000,2025-03-15 08:22:16.000,0,,6,Tried to get rid of all the least valuable tokens in return for something more valuable. Never accepted trades that weren't beneficial to me.,Nothing.,0,6,9,4,I don't think the scale/wording for the first question is correct - the scale says not at all aggressive to very aggressive but the question is phrased highly competitive to highly collaborative. I answered 0 meaning super highly competitive.,Everything was clear and I liked it.
145a1ad9-b5d5-421c-87f1-ebc13333a1fe,badger-yellow-9338,592220f8fc043000016c5aeb,Badger,🦡,,SUCCESS,survey,m898xgva-pbt91c,,2025-03-14 13:54:55.000,2025-03-14 14:18:36.000,2025-03-14 13:55:04.000,0,,5.19,i was checking which other chips the players had then making offers which may seem more profitable to them while trying to maximise my gains,none,4,7,9,7,can't think of anything to add,everything was fine and easy to understand the game was fun to play
