SeekUnc,SeekMC,SeekInstr,Cl_Seek
-0.120874137,-0.179740457,0.190565312,1
0.07120742,-0.31140893,0.129086817,1
0.124966539,0.244569362,0.419386546,1
0.179238769,0.321919459,0.581434838,3
-0.570714829,0.04346517,0.618552084,3
-1.31E-16,1.05E-16,1,3
0.278357967,0.053170527,0.853524056,3
0.02152892,0.04843441,0.87900477,3
0.686367045,0.018412271,0.588572462,2
-0.036134502,0.001520715,0.964992655,3
0.090098307,0.055535717,0.189717136,1
-0.134839574,0.146440228,0.736836714,3
0.416474254,0.015428516,0.839252957,3
-0.040742456,-0.030775587,0.975751543,3
-0.465986977,0.445435664,0.144312405,1
0.033606867,-0.027617543,0.9749159,3
0.069784636,-0.05191965,0.138024201,1
-8.46E-17,4.14E-17,1,3
-0.245752375,0.624180967,0.063861758,1
0.188082501,0.095296086,0.09219516,1
0.546279461,0.123444492,0.584994243,2
0.047541553,0.012697021,0.56427517,3
-0.138556716,0.365491436,0.047060883,1
0.230247499,0.114862632,0.836888882,3
0.694230102,0.21087647,0.470610703,2
0.018976439,-0.035174205,0.973327163,3
0.151793657,0.378857696,0.045153663,1
-0.478131494,0.35106912,0.397653322,1
0.943869819,-0.02983617,0.088198284,2
0.142179213,-0.059498976,0.889932663,3
0.566526825,0.047043634,-0.161642902,2
0.022530164,0.104703411,-0.044431164,1
0.137310654,0.068580822,-0.040437352,1
-0.251995299,0.664318669,-0.250039713,1
0.308215144,-0.083201401,0.824315346,3
0.011683668,-0.026390617,0.841686117,3
0.115317803,0.059590191,0.930643158,3
-0.16813554,0.056614929,-0.11102324,1
-0.007019147,0.214817781,0.329303142,1
0.016409939,-0.038887731,0.920403766,3
0.688968116,-0.032732419,0.128678253,2
-0.037213351,0.261124208,0.443181898,1
-0.923622117,0.036021101,0.041008993,1
0.504490809,-0.123240564,0.506258611,2
0.334463928,0.053252291,0.691517918,3
0.15768714,-0.016213587,0.345464661,1
-0.027702347,0.004106293,0.865087577,3
0.126576539,0.266558346,-0.132615815,1
0.390804063,0.02640151,0.209924821,2
-0.055260087,0.520414359,-0.127803874,1
0.190412603,0.574725369,0.111334123,1
0.070249857,-0.00524365,0.737323009,3
0.763085598,0.036380296,0.336212651,2
0.170657141,-0.073396137,0.843492177,3
-0.065647101,0.176332417,0.237394093,1
0.082607569,0.001978662,0.517118179,3
0.759410908,-0.058495935,0.173498727,2
-0.109100499,0.059170175,0.853366345,3
-0.134165421,0.291550144,-0.090295083,1
0.036814795,-0.108225589,0.110827413,1
0.941219143,-0.044289728,0.102157891,2
0.155551308,0.162035319,0.527281497,3
0.348289357,0.224006539,0.165710386,2
0.149092331,-0.015033058,0.306264604,1
-0.116364939,0.205737643,0.726169517,3
0.015012322,-0.008184957,0.993336784,3
0.111160895,0.072991399,-0.167211908,1
0.810661837,-0.133750779,-0.017942638,2
0.111300935,0.089234946,0.610476492,3
-0.094145038,0.125489458,0.608497979,3
-0.025553315,0.766600185,0.162610149,1
-0.001816976,0.023558749,0.980062956,3
-0.141897745,0.807627339,0.235455521,1
-0.133386886,0.12492482,-0.247790909,1
0.473835979,-0.146383177,0.21236924,2
0.818769545,-0.048232487,0.066129537,2
0.085449317,0.002502355,0.585417422,3
-0.143136205,0.415312571,0.485292536,1
0.191949605,-0.097532012,0.08654921,1
0.686289368,0.013188738,-0.09293664,2
0.04750528,0.51713264,0.304739142,1
-0.167235614,0.234232668,0.70525974,3
0.128732662,-0.135943849,-0.209268713,1
0.505972372,-0.182880533,-0.366118038,2
-3.43E-19,-1.25E-17,1,3
0.110550492,0.052149019,-0.483698871,1
0.359591528,-0.029323318,0.792145605,3
0.704190045,-0.008943137,0.165646965,2
-0.106150901,0.017410166,0.192540425,1
-0.477487356,-0.127535893,0.646025419,3
0.76981695,-0.225630554,-0.087842404,2
0.137190713,-0.093239966,0.143488998,1
0.288447529,-0.071157037,0.532516342,3
-0.487133597,0.125302408,-0.275705999,1
0.605014627,0.355314076,0.437568704,2
0.567504492,0.14709471,-0.230473291,2
0.043720221,0.006452326,0.945561786,3
-0.10255016,0.079858925,-0.02078338,1
0.794950827,0.122771978,0.038686734,2
-0.027369753,0.09300891,0.847893262,3
0.012222708,-0.021159904,0.984638865,3
-3.75E-17,3.14E-17,1,3
1.87E-17,3.74E-17,1,3
-0.054838468,0.664059647,0.30427755,1
0.394351848,0.061309374,0.395409358,2
-0.011094415,-0.003750395,0.963794836,3
-0.210062878,0.728214591,-0.087378093,1
0.841710687,0.09326521,0.208950398,2
-0.005727663,0.693955084,0.131075716,1
