n_trial,uncertainty,seek,Market_change_1up,mc_model,Instr,Task1Seek,check,ID,Old1
1,72,3,0,-464,1,1,1,60be191288bdda3df96d5629,1
2,76,5,1,424,1,1,1,60be191288bdda3df96d5629,1
3,16,6,1,472,1,1,1,60be191288bdda3df96d5629,1
4,21,0,0,-421,1,1,1,60be191288bdda3df96d5629,1
5,96,2,1,445,1,1,1,60be191288bdda3df96d5629,1
7,41,5,1,421,1,1,1,60be191288bdda3df96d5629,1
8,67,2,0,-449,1,1,1,60be191288bdda3df96d5629,1
9,11,6,1,458,1,1,1,60be191288bdda3df96d5629,1
11,26,6,0,-409,1,1,1,60be191288bdda3df96d5629,1
12,76,3,0,-453,1,1,1,60be191288bdda3df96d5629,1
13,1,6,0,-411,1,1,1,60be191288bdda3df96d5629,1
14,96,4,0,-484,1,1,1,60be191288bdda3df96d5629,1
15,85,5,1,423,1,1,1,60be191288bdda3df96d5629,1
17,23,5,1,460,1,1,1,60be191288bdda3df96d5629,1
18,91,3,1,451,1,1,1,60be191288bdda3df96d5629,1
19,39,5,1,407,1,1,1,60be191288bdda3df96d5629,1
20,63,5,1,464,1,1,1,60be191288bdda3df96d5629,1
21,52,6,0,-411,1,1,1,60be191288bdda3df96d5629,1
22,95,6,1,425,1,1,1,60be191288bdda3df96d5629,1
24,48,6,1,437,1,1,1,60be191288bdda3df96d5629,1
25,17,6,1,444,1,1,1,60be191288bdda3df96d5629,1
27,56,6,1,483,1,1,1,60be191288bdda3df96d5629,1
28,23,6,1,457,1,1,1,60be191288bdda3df96d5629,1
29,94,5,1,401,1,1,1,60be191288bdda3df96d5629,1
30,12,0,0,-467,1,1,1,60be191288bdda3df96d5629,1
32,42,4,0,-433,1,1,1,60be191288bdda3df96d5629,1
33,6,6,1,403,1,1,1,60be191288bdda3df96d5629,1
34,52,6,1,438,1,1,1,60be191288bdda3df96d5629,1
35,74,0,0,-431,1,1,1,60be191288bdda3df96d5629,1
36,86,6,0,-456,1,1,1,60be191288bdda3df96d5629,1
37,40,6,1,419,1,1,1,60be191288bdda3df96d5629,1
38,55,6,0,-500,1,1,1,60be191288bdda3df96d5629,1
40,93,6,0,-435,1,1,1,60be191288bdda3df96d5629,1
41,63,6,0,-470,1,1,1,60be191288bdda3df96d5629,1
42,7,0,0,-444,1,1,1,60be191288bdda3df96d5629,1
43,24,1,0,-490,1,1,1,60be191288bdda3df96d5629,1
44,51,4,1,461,1,1,1,60be191288bdda3df96d5629,1
46,74,4,1,493,1,1,1,60be191288bdda3df96d5629,1
47,25,6,1,436,1,1,1,60be191288bdda3df96d5629,1
48,89,5,1,407,1,1,1,60be191288bdda3df96d5629,1
1,61,6,1,454,1,1,1,6130f53a32652a779403e9ad,0
2,5,1,1,446,1,1,1,6130f53a32652a779403e9ad,0
3,12,2,0,-429,1,1,1,6130f53a32652a779403e9ad,0
4,81,6,0,-497,1,1,1,6130f53a32652a779403e9ad,0
5,70,5,1,493,1,1,1,6130f53a32652a779403e9ad,0
7,21,4,1,477,1,1,1,6130f53a32652a779403e9ad,0
8,84,6,0,-487,1,1,1,6130f53a32652a779403e9ad,0
9,28,4,1,405,1,1,1,6130f53a32652a779403e9ad,0
11,83,6,0,-454,1,1,1,6130f53a32652a779403e9ad,0
12,75,5,0,-476,1,1,1,6130f53a32652a779403e9ad,0
13,16,3,0,-479,1,1,1,6130f53a32652a779403e9ad,0
14,43,6,0,-473,1,1,1,6130f53a32652a779403e9ad,0
15,44,6,1,422,1,1,1,6130f53a32652a779403e9ad,0
17,9,1,1,498,1,1,1,6130f53a32652a779403e9ad,0
18,35,4,1,446,1,1,1,6130f53a32652a779403e9ad,0
19,80,6,0,-439,1,1,1,6130f53a32652a779403e9ad,0
20,58,6,0,-453,1,1,1,6130f53a32652a779403e9ad,0
21,15,5,1,423,1,1,1,6130f53a32652a779403e9ad,0
22,35,5,0,-488,1,1,1,6130f53a32652a779403e9ad,0
24,60,6,1,404,1,1,1,6130f53a32652a779403e9ad,0
25,75,4,0,-494,1,1,1,6130f53a32652a779403e9ad,0
27,80,6,1,419,1,1,1,6130f53a32652a779403e9ad,0
28,33,4,0,-443,1,1,1,6130f53a32652a779403e9ad,0
29,57,5,0,-487,1,1,1,6130f53a32652a779403e9ad,0
30,97,6,1,462,1,1,1,6130f53a32652a779403e9ad,0
32,76,6,0,-412,1,1,1,6130f53a32652a779403e9ad,0
33,10,2,0,-432,1,1,1,6130f53a32652a779403e9ad,0
34,93,6,1,449,1,1,1,6130f53a32652a779403e9ad,0
35,94,6,0,-474,1,1,1,6130f53a32652a779403e9ad,0
36,7,3,0,-497,1,1,1,6130f53a32652a779403e9ad,0
37,69,5,1,427,1,1,1,6130f53a32652a779403e9ad,0
38,86,6,1,446,1,1,1,6130f53a32652a779403e9ad,0
40,23,5,1,446,1,1,1,6130f53a32652a779403e9ad,0
41,90,6,1,429,1,1,1,6130f53a32652a779403e9ad,0
42,65,6,1,457,1,1,1,6130f53a32652a779403e9ad,0
43,5,3,0,-406,1,1,1,6130f53a32652a779403e9ad,0
44,63,6,1,438,1,1,1,6130f53a32652a779403e9ad,0
46,54,6,1,477,1,1,1,6130f53a32652a779403e9ad,0
47,91,6,0,-452,1,1,1,6130f53a32652a779403e9ad,0
48,28,2,0,-416,1,1,1,6130f53a32652a779403e9ad,0
1,99,6,0,-480,0,1,1,6130f53a32652a779403e9ad,0
2,13,3,0,-495,0,1,1,6130f53a32652a779403e9ad,0
3,53,5,0,-423,0,1,1,6130f53a32652a779403e9ad,0
4,75,6,1,472,0,1,1,6130f53a32652a779403e9ad,0
5,42,6,1,404,0,1,1,6130f53a32652a779403e9ad,0
7,70,6,0,-411,0,1,1,6130f53a32652a779403e9ad,0
8,4,0,0,-453,0,1,1,6130f53a32652a779403e9ad,0
9,83,6,0,-477,0,1,1,6130f53a32652a779403e9ad,0
11,50,5,1,490,0,1,1,6130f53a32652a779403e9ad,0
12,36,4,0,-498,0,1,1,6130f53a32652a779403e9ad,0
13,2,0,0,-480,0,1,1,6130f53a32652a779403e9ad,0
14,47,6,0,-479,0,1,1,6130f53a32652a779403e9ad,0
15,8,1,0,-424,0,1,1,6130f53a32652a779403e9ad,0
17,81,6,1,458,0,1,1,6130f53a32652a779403e9ad,0
18,27,4,1,478,0,1,1,6130f53a32652a779403e9ad,0
19,23,4,0,-446,0,1,1,6130f53a32652a779403e9ad,0
20,53,6,1,439,0,1,1,6130f53a32652a779403e9ad,0
21,51,6,0,-484,0,1,1,6130f53a32652a779403e9ad,0
22,53,6,0,-481,0,1,1,6130f53a32652a779403e9ad,0
24,29,4,1,457,0,1,1,6130f53a32652a779403e9ad,0
25,99,6,0,-486,0,1,1,6130f53a32652a779403e9ad,0
27,47,5,1,410,0,1,1,6130f53a32652a779403e9ad,0
28,33,5,0,-475,0,1,1,6130f53a32652a779403e9ad,0
29,69,5,1,456,0,1,1,6130f53a32652a779403e9ad,0
30,38,4,1,489,0,1,1,6130f53a32652a779403e9ad,0
32,68,5,0,-484,0,1,1,6130f53a32652a779403e9ad,0
33,5,0,0,-431,0,1,1,6130f53a32652a779403e9ad,0
34,35,5,1,451,0,1,1,6130f53a32652a779403e9ad,0
35,29,4,0,-498,0,1,1,6130f53a32652a779403e9ad,0
36,97,6,0,-469,0,1,1,6130f53a32652a779403e9ad,0
37,60,5,1,458,0,1,1,6130f53a32652a779403e9ad,0
38,33,4,0,-434,0,1,1,6130f53a32652a779403e9ad,0
40,81,5,0,-445,0,1,1,6130f53a32652a779403e9ad,0
41,14,1,1,448,0,1,1,6130f53a32652a779403e9ad,0
42,24,3,0,-423,0,1,1,6130f53a32652a779403e9ad,0
43,10,1,0,-499,0,1,1,6130f53a32652a779403e9ad,0
44,30,2,0,-434,0,1,1,6130f53a32652a779403e9ad,0
46,24,3,1,483,0,1,1,6130f53a32652a779403e9ad,0
47,44,5,0,-444,0,1,1,6130f53a32652a779403e9ad,0
48,72,6,1,442,0,1,1,6130f53a32652a779403e9ad,0
1,31,0,0,-420,0,1,1,62a0c5bf6efbdb2f7d383eaf,0
2,77,3,0,-480,0,1,1,62a0c5bf6efbdb2f7d383eaf,0
3,30,6,1,458,0,1,1,62a0c5bf6efbdb2f7d383eaf,0
4,45,2,0,-489,0,1,1,62a0c5bf6efbdb2f7d383eaf,0
