StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q7,Q38_1,Q38_2,Q56_1,Q56_2,Q54_1,Q54_2,Q91_1,Q91_2,Q88_1,Q88_2,Q94_1,Q94_2,1_Q38,1_Q25_First Click,1_Q25_Last Click,1_Q25_Page Submit,1_Q25_Click Count,2_Q38,2_Q25_First Click,2_Q25_Last Click,2_Q25_Page Submit,2_Q25_Click Count,3_Q38,3_Q25_First Click,3_Q25_Last Click,3_Q25_Page Submit,3_Q25_Click Count,4_Q38,4_Q25_First Click,4_Q25_Last Click,4_Q25_Page Submit,4_Q25_Click Count,5_Q38,5_Q25_First Click,5_Q25_Last Click,5_Q25_Page Submit,5_Q25_Click Count,6_Q38,6_Q25_First Click,6_Q25_Last Click,6_Q25_Page Submit,6_Q25_Click Count,7_Q38,7_Q25_First Click,7_Q25_Last Click,7_Q25_Page Submit,7_Q25_Click Count,8_Q38,8_Q25_First Click,8_Q25_Last Click,8_Q25_Page Submit,8_Q25_Click Count,9_Q38,9_Q25_First Click,9_Q25_Last Click,9_Q25_Page Submit,9_Q25_Click Count,10_Q38,10_Q25_First Click,10_Q25_Last Click,10_Q25_Page Submit,10_Q25_Click Count,11_Q38,11_Q25_First Click,11_Q25_Last Click,11_Q25_Page Submit,11_Q25_Click Count,12_Q38,12_Q25_First Click,12_Q25_Last Click,12_Q25_Page Submit,12_Q25_Click Count,13_Q38,13_Q25_First Click,13_Q25_Last Click,13_Q25_Page Submit,13_Q25_Click Count,14_Q38,14_Q25_First Click,14_Q25_Last Click,14_Q25_Page Submit,14_Q25_Click Count,15_Q38,15_Q25_First Click,15_Q25_Last Click,15_Q25_Page Submit,15_Q25_Click Count,16_Q38,16_Q25_First Click,16_Q25_Last Click,16_Q25_Page Submit,16_Q25_Click Count,Q52,CurrentTrial,totalGains,totalBonus,GamePlayed,Cooperated,NumGames,ErrorTraining,NumTraining,PROLIFIC_PID,Completion_URL,responses
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Welcome to the second day of the study on social behavior     Today, you will play more games with different virtual partners. These “virtual partners” are not real people but are programs that can simulate real-life behavior, just like characters in videogames. In each game you will be matched with another virtual partner who behaves independently, so you will never play with the same virtual partner twice. You will have to make decisions that affect the payoff of yourself and the virtual partner.     Participation in this study is still voluntary, and you may withdraw at any time, but you will only be compensated if you complete the entire study (i.e., all 10 days). After completing the entire study, you will receive a fixed compensation of 7.5 pounds and you will receive an additional bonus payment based on your performance of one of the games per day (these games will be chosen at random).     Here is a detailed calender that you can download if needed.     Download calender      To get further instructions about the study, please check the box 'Read, understood and approved' below, and then click on the next button. By checking this box, you indicate that you have read, understood and approved this statement and are over the age of 18.","In the past, your partner shared:     Tokens you have to give:                       You decide to not play this game. - How many tokens do you end up with?","In the past, your partner shared:     Tokens you have to give:                       You decide to not play this game. - How many tokens does s/he end up with?","In the past, your partner shared:  			Tokens you have to give: 		 		 			 			 		 	    You decide to play this game.  Your partner keeps everything. - How many tokens do you end up with?","In the past, your partner shared:  			Tokens you have to give: 		 		 			 			 		 	    You decide to play this game.  Your partner keeps everything. - How many tokens does s/he end up with?","In the past, your partner shared:  			Tokens you have to give: 		 		 			 			 		 	    You decide to play this game.  Your partner shares. - How many tokens do you end up with?","In the past, your partner shared:  			Tokens you have to give: 		 		 			 			 		 	    You decide to play this game.  Your partner shares. - How many tokens does s/he end up with?","In the past, your partner shared:     Tokens you have to give:                       You decide to not play this game. - How many tokens do you end up with?","In the past, your partner shared:     Tokens you have to give:                       You decide to not play this game. - How many tokens does s/he end up with?","In the past, your partner shared: 			Tokens you have to give: 		 		 			 			 		 	    You decide to play this game.  Your partner keeps everything. - How many tokens do you end up with?","In the past, your partner shared: 			Tokens you have to give: 		 		 			 			 		 	    You decide to play this game.  Your partner keeps everything. - How many tokens does s/he end up with?","In the past, your partner shared:     Tokens you have to give:                       You decide to play this game.  Your partner shares. - How many tokens do you end up with?","In the past, your partner shared:     Tokens you have to give:                       You decide to play this game.  Your partner shares. - How many tokens does s/he end up with?","IM_aa8Yh8AXBRETQUZ - Game      How much do you want to play with this partner?            In the past, your partner shared:     Tokens you have to give:",Timing - IM_aa8Yh8AXBRETQUZ - Timing - First Click,Timing - IM_aa8Yh8AXBRETQUZ - Timing - Last Click,Timing - IM_aa8Yh8AXBRETQUZ - Timing - Page Submit,Timing - IM_aa8Yh8AXBRETQUZ - Timing - Click Count,"IM_aa8Yh8AXBRETQUZ - Game      How much do you want to play with this partner?            In the past, your partner shared:     Tokens you have to give:",Timing - IM_aa8Yh8AXBRETQUZ - Timing - First Click,Timing - IM_aa8Yh8AXBRETQUZ - Timing - Last Click,Timing - IM_aa8Yh8AXBRETQUZ - Timing - Page Submit,Timing - IM_aa8Yh8AXBRETQUZ - Timing - Click Count,"IM_aa8Yh8AXBRETQUZ - Game      How much do you want to play with this partner?            In the past, your partner shared:     Tokens you have to give:",Timing - IM_aa8Yh8AXBRETQUZ - Timing - First Click,Timing - IM_aa8Yh8AXBRETQUZ - Timing - Last Click,Timing - IM_aa8Yh8AXBRETQUZ - Timing - Page Submit,Timing - IM_aa8Yh8AXBRETQUZ - Timing - Click Count,"IM_aa8Yh8AXBRETQUZ - Game      How much do you want to play with this partner?            In the past, your partner shared:     Tokens you have to give:",Timing - IM_aa8Yh8AXBRETQUZ - Timing - First Click,Timing - IM_aa8Yh8AXBRETQUZ - Timing - Last Click,Timing - IM_aa8Yh8AXBRETQUZ - Timing - Page Submit,Timing - IM_aa8Yh8AXBRETQUZ - Timing - Click Count,"IM_exRRV3ria3uHafj - Game      How much do you want to play with this partner?            In the past, your partner shared:     Tokens you have to give:",Timing - IM_exRRV3ria3uHafj - Timing - First Click,Timing - IM_exRRV3ria3uHafj - Timing - Last Click,Timing - IM_exRRV3ria3uHafj - Timing - Page Submit,Timing - IM_exRRV3ria3uHafj - Timing - Click Count,"IM_exRRV3ria3uHafj - Game      How much do you want to play with this partner?            In the past, your partner shared:     Tokens you have to give:",Timing - IM_exRRV3ria3uHafj - Timing - First Click,Timing - IM_exRRV3ria3uHafj - Timing - Last Click,Timing - IM_exRRV3ria3uHafj - Timing - Page Submit,Timing - IM_exRRV3ria3uHafj - Timing - Click Count,"IM_exRRV3ria3uHafj - Game      How much do you want to play with this partner?            In the past, your partner shared:     Tokens you have to give:",Timing - IM_exRRV3ria3uHafj - Timing - First Click,Timing - IM_exRRV3ria3uHafj - Timing - Last Click,Timing - IM_exRRV3ria3uHafj - Timing - Page Submit,Timing - IM_exRRV3ria3uHafj - Timing - Click Count,"IM_exRRV3ria3uHafj - Game      How much do you want to play with this partner?            In the past, your partner shared:     Tokens you have to give:",Timing - IM_exRRV3ria3uHafj - Timing - First Click,Timing - IM_exRRV3ria3uHafj - Timing - Last Click,Timing - IM_exRRV3ria3uHafj - Timing - Page Submit,Timing - IM_exRRV3ria3uHafj - Timing - Click Count,"IM_6Xq8U7DGTrDRII5 - Game      How much do you want to play with this partner?            In the past, your partner shared:     Tokens you have to give:",Timing - IM_6Xq8U7DGTrDRII5 - Timing - First Click,Timing - IM_6Xq8U7DGTrDRII5 - Timing - Last Click,Timing - IM_6Xq8U7DGTrDRII5 - Timing - Page Submit,Timing - IM_6Xq8U7DGTrDRII5 - Timing - Click Count,"IM_6Xq8U7DGTrDRII5 - Game      How much do you want to play with this partner?            In the past, your partner shared:     Tokens you have to give:",Timing - IM_6Xq8U7DGTrDRII5 - Timing - First Click,Timing - IM_6Xq8U7DGTrDRII5 - Timing - Last Click,Timing - IM_6Xq8U7DGTrDRII5 - Timing - Page Submit,Timing - IM_6Xq8U7DGTrDRII5 - Timing - Click Count,"IM_6Xq8U7DGTrDRII5 - Game      How much do you want to play with this partner?            In the past, your partner shared:     Tokens you have to give:",Timing - IM_6Xq8U7DGTrDRII5 - Timing - First Click,Timing - IM_6Xq8U7DGTrDRII5 - Timing - Last Click,Timing - IM_6Xq8U7DGTrDRII5 - Timing - Page Submit,Timing - IM_6Xq8U7DGTrDRII5 - Timing - Click Count,"IM_6Xq8U7DGTrDRII5 - Game      How much do you want to play with this partner?            In the past, your partner shared:     Tokens you have to give:",Timing - IM_6Xq8U7DGTrDRII5 - Timing - First Click,Timing - IM_6Xq8U7DGTrDRII5 - Timing - Last Click,Timing - IM_6Xq8U7DGTrDRII5 - Timing - Page Submit,Timing - IM_6Xq8U7DGTrDRII5 - Timing - Click Count,"IM_0oLKkx0EA4wLCst - Game      How much do you want to play with this partner?            In the past, your partner shared:     Tokens you have to give:",Timing - IM_0oLKkx0EA4wLCst - Timing - First Click,Timing - IM_0oLKkx0EA4wLCst - Timing - Last Click,Timing - IM_0oLKkx0EA4wLCst - Timing - Page Submit,Timing - IM_0oLKkx0EA4wLCst - Timing - Click Count,"IM_0oLKkx0EA4wLCst - Game      How much do you want to play with this partner?            In the past, your partner shared:     Tokens you have to give:",Timing - IM_0oLKkx0EA4wLCst - Timing - First Click,Timing - IM_0oLKkx0EA4wLCst - Timing - Last Click,Timing - IM_0oLKkx0EA4wLCst - Timing - Page Submit,Timing - IM_0oLKkx0EA4wLCst - Timing - Click Count,"IM_0oLKkx0EA4wLCst - Game      How much do you want to play with this partner?            In the past, your partner shared:     Tokens you have to give:",Timing - IM_0oLKkx0EA4wLCst - Timing - First Click,Timing - IM_0oLKkx0EA4wLCst - Timing - Last Click,Timing - IM_0oLKkx0EA4wLCst - Timing - Page Submit,Timing - IM_0oLKkx0EA4wLCst - Timing - Click Count,"IM_0oLKkx0EA4wLCst - Game      How much do you want to play with this partner?            In the past, your partner shared:     Tokens you have to give:",Timing - IM_0oLKkx0EA4wLCst - Timing - First Click,Timing - IM_0oLKkx0EA4wLCst - Timing - Last Click,Timing - IM_0oLKkx0EA4wLCst - Timing - Page Submit,Timing - IM_0oLKkx0EA4wLCst - Timing - Click Count,Please indicate your Prolific ID,CurrentTrial,totalGains,totalBonus,GamePlayed,Cooperated,NumGames,ErrorTraining,NumTraining,PROLIFIC_PID,Completion_URL,responses
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID12""}","{""ImportId"":""QID79_1""}","{""ImportId"":""QID79_2""}","{""ImportId"":""QID78_1""}","{""ImportId"":""QID78_2""}","{""ImportId"":""QID76_1""}","{""ImportId"":""QID76_2""}","{""ImportId"":""QID91_1""}","{""ImportId"":""QID91_2""}","{""ImportId"":""QID88_1""}","{""ImportId"":""QID88_2""}","{""ImportId"":""QID94_1""}","{""ImportId"":""QID94_2""}","{""ImportId"":""1_QID60""}","{""ImportId"":""1_QID47_FIRST_CLICK""}","{""ImportId"":""1_QID47_LAST_CLICK""}","{""ImportId"":""1_QID47_PAGE_SUBMIT""}","{""ImportId"":""1_QID47_CLICK_COUNT""}","{""ImportId"":""2_QID60""}","{""ImportId"":""2_QID47_FIRST_CLICK""}","{""ImportId"":""2_QID47_LAST_CLICK""}","{""ImportId"":""2_QID47_PAGE_SUBMIT""}","{""ImportId"":""2_QID47_CLICK_COUNT""}","{""ImportId"":""3_QID60""}","{""ImportId"":""3_QID47_FIRST_CLICK""}","{""ImportId"":""3_QID47_LAST_CLICK""}","{""ImportId"":""3_QID47_PAGE_SUBMIT""}","{""ImportId"":""3_QID47_CLICK_COUNT""}","{""ImportId"":""4_QID60""}","{""ImportId"":""4_QID47_FIRST_CLICK""}","{""ImportId"":""4_QID47_LAST_CLICK""}","{""ImportId"":""4_QID47_PAGE_SUBMIT""}","{""ImportId"":""4_QID47_CLICK_COUNT""}","{""ImportId"":""5_QID60""}","{""ImportId"":""5_QID47_FIRST_CLICK""}","{""ImportId"":""5_QID47_LAST_CLICK""}","{""ImportId"":""5_QID47_PAGE_SUBMIT""}","{""ImportId"":""5_QID47_CLICK_COUNT""}","{""ImportId"":""6_QID60""}","{""ImportId"":""6_QID47_FIRST_CLICK""}","{""ImportId"":""6_QID47_LAST_CLICK""}","{""ImportId"":""6_QID47_PAGE_SUBMIT""}","{""ImportId"":""6_QID47_CLICK_COUNT""}","{""ImportId"":""7_QID60""}","{""ImportId"":""7_QID47_FIRST_CLICK""}","{""ImportId"":""7_QID47_LAST_CLICK""}","{""ImportId"":""7_QID47_PAGE_SUBMIT""}","{""ImportId"":""7_QID47_CLICK_COUNT""}","{""ImportId"":""8_QID60""}","{""ImportId"":""8_QID47_FIRST_CLICK""}","{""ImportId"":""8_QID47_LAST_CLICK""}","{""ImportId"":""8_QID47_PAGE_SUBMIT""}","{""ImportId"":""8_QID47_CLICK_COUNT""}","{""ImportId"":""9_QID60""}","{""ImportId"":""9_QID47_FIRST_CLICK""}","{""ImportId"":""9_QID47_LAST_CLICK""}","{""ImportId"":""9_QID47_PAGE_SUBMIT""}","{""ImportId"":""9_QID47_CLICK_COUNT""}","{""ImportId"":""10_QID60""}","{""ImportId"":""10_QID47_FIRST_CLICK""}","{""ImportId"":""10_QID47_LAST_CLICK""}","{""ImportId"":""10_QID47_PAGE_SUBMIT""}","{""ImportId"":""10_QID47_CLICK_COUNT""}","{""ImportId"":""11_QID60""}","{""ImportId"":""11_QID47_FIRST_CLICK""}","{""ImportId"":""11_QID47_LAST_CLICK""}","{""ImportId"":""11_QID47_PAGE_SUBMIT""}","{""ImportId"":""11_QID47_CLICK_COUNT""}","{""ImportId"":""12_QID60""}","{""ImportId"":""12_QID47_FIRST_CLICK""}","{""ImportId"":""12_QID47_LAST_CLICK""}","{""ImportId"":""12_QID47_PAGE_SUBMIT""}","{""ImportId"":""12_QID47_CLICK_COUNT""}","{""ImportId"":""13_QID60""}","{""ImportId"":""13_QID47_FIRST_CLICK""}","{""ImportId"":""13_QID47_LAST_CLICK""}","{""ImportId"":""13_QID47_PAGE_SUBMIT""}","{""ImportId"":""13_QID47_CLICK_COUNT""}","{""ImportId"":""14_QID60""}","{""ImportId"":""14_QID47_FIRST_CLICK""}","{""ImportId"":""14_QID47_LAST_CLICK""}","{""ImportId"":""14_QID47_PAGE_SUBMIT""}","{""ImportId"":""14_QID47_CLICK_COUNT""}","{""ImportId"":""15_QID60""}","{""ImportId"":""15_QID47_FIRST_CLICK""}","{""ImportId"":""15_QID47_LAST_CLICK""}","{""ImportId"":""15_QID47_PAGE_SUBMIT""}","{""ImportId"":""15_QID47_CLICK_COUNT""}","{""ImportId"":""16_QID60""}","{""ImportId"":""16_QID47_FIRST_CLICK""}","{""ImportId"":""16_QID47_LAST_CLICK""}","{""ImportId"":""16_QID47_PAGE_SUBMIT""}","{""ImportId"":""16_QID47_CLICK_COUNT""}","{""ImportId"":""QID111_TEXT""}","{""ImportId"":""CurrentTrial""}","{""ImportId"":""totalGains""}","{""ImportId"":""totalBonus""}","{""ImportId"":""GamePlayed""}","{""ImportId"":""Cooperated""}","{""ImportId"":""NumGames""}","{""ImportId"":""ErrorTraining""}","{""ImportId"":""NumTraining""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""Completion_URL""}","{""ImportId"":""responses""}"
2021-10-14 13:02:06,2021-10-14 13:05:02,IP Address,46.65.104.229,100,175,True,2021-10-14 13:05:02,R_1QAUrlhd5hF4EdH,,,,,51.1468963623046875,0.8773040771484375,anonymous,EN,"Read, understood and approved",5,5,0,20,10,10,,,,,,,6,1.252,1.252,1.264,1,7,4.759,4.759,4.774,1,5,5.073,5.073,5.085,1,4,2.459,2.459,2.467,1,7,4.786,4.786,4.8,1,7,2.33,2.33,2.338,1,4,2.311,2.311,2.325,1,3,3.37,3.37,3.383,1,6,3.017,3.017,3.025,1,5,1.906,1.906,1.915,1,3,4.359,4.359,4.368,1,4,2.977,2.977,2.986,1,5,1.299,1.299,1.307,1,5,3.453,3.453,3.462,1,3,1.821,1.821,1.829,1,2,1.893,1.893,1.801,1,61587ef7a7a1af1c9d8690d3,0,7,0.6999999999999999555910790149937383830547332763671875,1,1,16,0,1,,https://app.prolific.co/submissions/complete?cc=7595DFB6,6
2021-10-14 13:01:49,2021-10-14 13:05:19,IP Address,81.178.176.221,100,210,True,2021-10-14 13:05:20,R_1q2q4i2pChApQ6j,,,,,53.565093994140625,-0.6374969482421875,anonymous,EN,"Read, understood and approved",5,5,0,20,10,10,,,,,,,8,2.575,2.575,2.587,1,7,14.295,14.295,14.201,1,7,4.575,4.575,4.585,1,7,2.769,2.769,2.782,1,6,3.665,3.665,3.676,1,8,2.887,2.887,2.899,1,7,3.681,3.681,3.692,1,7,3.32,3.32,3.331,1,5,1.711,1.711,1.722,1,5,2.443,2.443,2.455,1,6,5.792,5.792,5.701,1,5,3.173,3.173,3.185,1,4,2.136,2.136,2.148,1,4,2.401,2.401,2.412,1,5,3.175,3.175,3.186,1,3,2.37,2.37,2.382,1,5f16c3aa4862ae8532b4216e,0,9,0.90000000000000002220446049250313080847263336181640625,1,1,16,0,1,,https://app.prolific.co/submissions/complete?cc=7595DFB6,8
2021-10-14 13:01:20,2021-10-14 13:05:21,IP Address,90.220.178.213,100,240,True,2021-10-14 13:05:21,R_5j5lxujfvTKsJGN,,,,,51.57080078125,-0.103302001953125,anonymous,EN,"Read, understood and approved",5,5,0,10,10,10,5,5,0,15,10,10,Extremely,0.972,3.102,3.262,4,7,2.164,3.517,3.576,3,6,1.653,6.599,6.663,5,6,0.956,3.202,3.427,3,6,5.385,6.302,6.559,2,7,0.815,1.701,1.889,2,3,1.048,2.792,2.864,2,5,1.138,3.604,3.794,3,6,1.301,4.604,4.873,4,7,1.014,2.901,3.107,4,2,1.269,2.202,2.393,2,2,1.336,2.484,2.403,2,2,0.967,2.502,2.681,3,5,0.892,2.57,2.64,3,3,1.15,2.102,2.296,2,2,0.078,6.302,6.495,9,615f2d67574095fe86bfe619,0,5,0.5,0,0,16,1,2,,https://app.prolific.co/submissions/complete?cc=7595DFB6,9
2021-10-14 13:03:14,2021-10-14 13:05:21,IP Address,90.200.100.190,100,127,True,2021-10-14 13:05:21,R_1IxUua03IZaMWnA,,,,,50.834503173828125,-0.186004638671875,anonymous,EN,"Read, understood and approved",5,5,0,20,10,10,,,,,,,Extremely,0.128,2.563,2.522,5,7,1.78,3.088,3.154,2,7,0.854,1.806,1.869,2,6,0.772,1.54,1.504,2,4,1.204,1.807,1.983,2,7,0.804,1.545,1.613,2,6,0.768,1.416,1.48,2,5,0.997,1.628,1.691,2,Extremely,0.842,1.991,2.058,4,Extremely,0.134,2.603,2.779,3,7,0.607,1.407,1.475,2,4,1.708,2.307,2.479,2,Extremely,0.746,2.235,2.301,3,Extremely,1.634,3.745,3.706,4,8,1.427,4.346,4.41,3,7,2.955,4.206,4.266,3,6082595c282eb69b927ca5f9,0,5,0.5,0,0,16,0,1,,https://app.prolific.co/submissions/complete?cc=7595DFB6,9
2021-10-14 13:02:28,2021-10-14 13:05:27,IP Address,94.185.187.174,100,179,True,2021-10-14 13:05:27,R_2t5mcXCXjiI0yY8,,,,,52.4918060302734375,-1.85980224609375,anonymous,EN,"Read, understood and approved",5,5,0,10,10,10,5,5,0,20,10,10,Extremely,1.733,1.733,1.747,1,5,2.7,2.7,2.71,1,7,3.663,3.663,3.677,1,Extremely,1.543,1.543,1.556,1,6,1.767,1.767,1.78,1,7,3.187,3.187,3.196,1,5,2.231,2.751,2.76,2,7,1.851,1.851,1.858,1,3,8.731,8.731,8.743,1,5,1.776,1.776,1.787,1,4,4.907,4.907,4.917,1,5,1.564,1.564,1.578,1,4,3.652,3.652,3.662,1,3,2.179,2.179,2.19,1,4,3.352,3.352,3.364,1,5,1.749,1.749,1.761,1,614dd1ef0425aaf131393cc9,0,9,0.90000000000000002220446049250313080847263336181640625,1,1,16,0,2,,https://app.prolific.co/submissions/complete?cc=7595DFB6,9
2021-10-14 13:02:08,2021-10-14 13:05:57,IP Address,79.78.12.105,100,229,True,2021-10-14 13:05:57,R_2zvuL9UF4MAJDv7,,,,,55.86700439453125,-4.2621002197265625,anonymous,EN,"Read, understood and approved",5,5,0,20,7,7,5,0,0,20,10,10,7,1.334,1.334,1.339,1,7,1.204,1.204,1.21,1,7,1.734,1.734,1.74,1,7,5.365,5.365,5.371,1,6,1.87,1.87,1.877,1,7,3.774,3.774,3.78,1,6,1.648,1.648,1.654,1,6,1.415,1.415,1.421,1,5,1.297,1.297,1.302,1,5,1.379,1.379,1.384,1,5,1.638,1.638,1.644,1,6,1.319,1.319,1.325,1,3,1.427,1.427,1.432,1,4,2.031,2.031,2.038,1,5,1.34,1.34,1.345,1,5,2.081,2.081,2.087,1,615e19784fc360700b325eac,0,5,0.5,0,0,16,1,2,,https://app.prolific.co/submissions/complete?cc=7595DFB6,7
2021-10-14 13:03:20,2021-10-14 13:06:06,IP Address,86.136.240.208,100,165,True,2021-10-14 13:06:06,R_cSJeUDuLKPrlHl7,,,,,54.9741973876953125,-1.6150054931640625,anonymous,EN,"Read, understood and approved",5,5,0,10,5,10,5,0,5,20,10,10,4,2.472,2.472,2.492,1,5,1.648,1.648,1.666,1,8,1.74,1.74,1.756,1,Extremely,3.109,3.109,3.125,1,2,1.97,1.97,1.989,1,3,1.95,1.95,1.965,1,8,1.79,1.79,1.7,1,Extremely,2.516,2.516,2.531,1,3,1.809,1.809,1.828,1,4,1.849,1.849,1.856,1,8,4.118,4.118,4.136,1,7,2.58,2.58,2.598,1,3,1.948,1.948,1.964,1,4,1.863,2.146,2.161,2,7,1.535,1.535,1.547,1,7,2.08,2.08,2.098,1,60455b1578f6f36a3e8ea81c,0,5,0.5,0,0,16,1,2,,https://app.prolific.co/submissions/complete?cc=7595DFB6,4
2021-10-14 13:02:07,2021-10-14 13:06:17,IP Address,82.132.245.189,100,249,True,2021-10-14 13:06:17,R_24ueihIPJkkM7o5,,,,,53.48089599609375,-2.237396240234375,anonymous,EN,"Read, understood and approved",5,5,0,10,10,10,5,0,0,20,10,10,5,0.588,3.139,3.101,3,7,1.155,2.441,2.499,3,Extremely,0.601,2.289,2.347,3,Extremely,0.901,2.005,2.064,2,Not at all,0.933,1.47,1.53,2,6,0.974,2.409,2.471,3,8,2.027,3.112,3.171,3,8,0.929,2.631,2.69,4,6,1.101,2.002,2.064,2,8,1.601,5.886,5.951,4,4,0.982,2.051,2.001,3,6,0.916,1.801,1.864,2,Not at all,0.696,1.414,1.475,2,2,0.822,2.124,2.185,3,4,1.283,2.819,2.879,2,5,0.782,2.4,2.462,4,6162c650f52a251b60211e35,0,9,0.90000000000000002220446049250313080847263336181640625,1,1,16,1,2,,https://app.prolific.co/submissions/complete?cc=7595DFB6,5
