Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Total rejections,Approval rate,Negotiation experience,Highest education level completed,Deception,Charitable giving,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
630f36833742de51ded6cdc9,5ced7e9f3cad8c00179175af,AWAITING REVIEW,2022-08-31T10:27:37.977000Z,2022-08-31T10:36:30.058000Z,,2022-08-31T10:36:30.395391Z,533,4BC08866,1200,4,100,Not Applicable,Undergraduate degree (BA/BSc/other),"Yes, I would be comfortable to take part in such a study",£1-£50,37,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
630f369f890ea1ad65cff247,5bc6618e54b3bc0001a30ffa,AWAITING REVIEW,2022-08-31T10:23:27.540000Z,2022-08-31T10:35:43.742000Z,,2022-08-31T10:35:44.133305Z,737,4BC08866,893,18,95,Yes,Undergraduate degree (BA/BSc/other),"Yes, I would be comfortable to take part in such a study",£1-£50,67,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Other
630f36bb1dfca535f7b36228,5e6e6497d33339419afd90f9,AWAITING REVIEW,2022-08-31T10:23:55.318000Z,2022-08-31T10:30:48.805000Z,,2022-08-31T10:30:49.187676Z,414,4BC08866,453,9,97,Yes,Undergraduate degree (BA/BSc/other),"Yes, I would be comfortable to take part in such a study",£75-£100,34,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Other
630f36c40f784b284910283e,5ca606a5614b7b0015be495e,AWAITING REVIEW,2022-08-31T10:24:07.274000Z,2022-08-31T10:30:37.042000Z,,2022-08-31T10:30:37.436077Z,390,4BC08866,1334,8,99,No,Undergraduate degree (BA/BSc/other),"Yes, I would be comfortable to take part in such a study",£101-£200,47,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
630f36d6b12c0c04fd35ce37,5f24956d52c72509677c5d85,AWAITING REVIEW,2022-08-31T10:24:23.958000Z,2022-08-31T10:29:55.233000Z,,2022-08-31T10:29:55.622101Z,332,4BC08866,141,1,100,No,Undergraduate degree (BA/BSc/other),"Yes, I would be comfortable to take part in such a study",£1-£50,21,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Part-Time
630f36d78ec00983a03aae9d,58c26f473977190001f54116,AWAITING REVIEW,2022-08-31T10:24:46.106000Z,2022-08-31T10:32:08.742000Z,,2022-08-31T10:32:09.046625Z,443,4BC08866,347,4,99,No,Undergraduate degree (BA/BSc/other),"Yes, I would be comfortable to take part in such a study",£501+,41,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
630f3715a4d3a890edcea7fc,5df7f2a06aab7c59c3dc3b9e,AWAITING REVIEW,2022-08-31T10:25:27.541000Z,2022-08-31T10:33:15.732000Z,,2022-08-31T10:33:16.109889Z,469,4BC08866,237,2,100,Yes,Technical/community college,"Yes, I would be comfortable to take part in such a study",£1-£50,27,Female,White,Slovakia,United Kingdom,Slovakia,Slovak,Yes,Full-Time
630f371dfba41b9130ff37d5,62d6defa1986d536fcf8c525,AWAITING REVIEW,2022-08-31T10:25:37.169000Z,2022-08-31T10:51:34.126000Z,,2022-08-31T10:51:34.533984Z,1557,4BC08866,50,0,100,No,Technical/community college,"Yes, I would be comfortable to take part in such a study",£1-£50,34,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
630f371f8ec00983a03aaea0,5f59209be2e8b9128d9652b8,AWAITING REVIEW,2022-08-31T10:25:35.746000Z,2022-08-31T10:32:28.704000Z,,2022-08-31T10:32:29.171405Z,413,4BC08866,580,5,99,No,Graduate degree (MA/MSc/MPhil/other),"Yes, I would be comfortable to take part in such a study",£201-£500,52,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
630f372e60546efa827483e0,5e6ec0b3b0939647aa5cfd10,AWAITING REVIEW,2022-08-31T10:25:59.767000Z,2022-08-31T10:36:47.133000Z,,2022-08-31T10:36:47.798788Z,648,4BC08866,768,5,99,No,Undergraduate degree (BA/BSc/other),"Yes, I would be comfortable to take part in such a study",£1-£50,65,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
630f37596e5f785cfecee12d,60573ad6a05c46bb3568f16f,AWAITING REVIEW,2022-08-31T10:26:38.447000Z,2022-08-31T10:34:30.016000Z,,2022-08-31T10:34:30.376268Z,472,4BC08866,118,1,100,No,Technical/community college,"Yes, I would be comfortable to take part in such a study",£1-£50,37,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
630f375da0dd892a78ab5eb5,62da8bf26fb0a7aea8197c48,AWAITING REVIEW,2022-08-31T10:26:37.699000Z,2022-08-31T10:38:01.966000Z,,2022-08-31T10:38:02.402275Z,685,4BC08866,66,1,100,Yes,Doctorate degree (PhD/other),"Yes, I would be comfortable to take part in such a study",£50-£75,32,Male,White,United Kingdom,United Kingdom,Turkey,English,Yes,Full-Time
630f3760cd0e1867f503b4b7,571dd9b913b1b70009be2d86,AWAITING REVIEW,2022-08-31T10:26:44.265000Z,2022-08-31T10:41:24.831000Z,,2022-08-31T10:41:25.293909Z,881,4BC08866,2026,10,100,Yes,High school diploma/A-levels,"Yes, I would be comfortable to take part in such a study",£1-£50,53,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
630f376f35b854f44ad1020d,629f179af36ad0236785986c,AWAITING REVIEW,2022-08-31T10:26:58.857000Z,2022-08-31T10:33:48.142000Z,,2022-08-31T10:33:48.493840Z,410,4BC08866,75,1,100,No,Undergraduate degree (BA/BSc/other),"Yes, I would be comfortable to take part in such a study",£1-£50,38,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
630f377be3ff182694eee936,604604bf082da501e40808c3,AWAITING REVIEW,2022-08-31T10:27:09.962000Z,2022-08-31T10:35:46.939000Z,,2022-08-31T10:35:47.319772Z,517,4BC08866,457,5,99,No,Undergraduate degree (BA/BSc/other),"Yes, I would be comfortable to take part in such a study",£75-£100,42,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
630f377e0c3d2d37e7b77488,61487f15ed600720f3ad240b,AWAITING REVIEW,2022-08-31T10:27:10.962000Z,2022-08-31T10:34:07.763000Z,,2022-08-31T10:34:08.150297Z,417,4BC08866,279,3,99,No,Graduate degree (MA/MSc/MPhil/other),"Yes, I would be comfortable to take part in such a study",£0,30,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
630f377f11a59462baeed043,5dc860e9dcc83f5d2d85ec67,AWAITING REVIEW,2022-08-31T10:27:14.704000Z,2022-08-31T10:34:21.226000Z,,2022-08-31T10:34:21.606843Z,427,4BC08866,726,5,100,No,Undergraduate degree (BA/BSc/other),"Yes, I would be comfortable to take part in such a study",£0,40,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
630f379a11a59462baeed046,61693b21fbf953323ceadf35,AWAITING REVIEW,2022-08-31T10:27:41.215000Z,2022-08-31T10:34:44.229000Z,,2022-08-31T10:34:44.617301Z,424,4BC08866,121,2,99,No,Undergraduate degree (BA/BSc/other),"Yes, I would be comfortable to take part in such a study",£1-£50,22,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Part-Time
630f37ac0a6c2a6519afeb65,61207c2c56bc4e4694910776,AWAITING REVIEW,2022-08-31T10:27:58.936000Z,2022-08-31T10:33:24.064000Z,,2022-08-31T10:33:24.465720Z,326,4BC08866,337,5,97,Yes,Technical/community college,"Yes, I would be comfortable to take part in such a study",£1-£50,33,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
630f37b631cd5eb2cccc413e,5d45ed2a23a1260018201b2c,AWAITING REVIEW,2022-08-31T10:28:08.588000Z,2022-08-31T10:35:43.334000Z,,2022-08-31T10:35:43.694352Z,455,4BC08866,361,1,100,Yes,Technical/community college,"Yes, I would be comfortable to take part in such a study",£0,25,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
