StatementID,TreatmentCode,SubjectID,ID,UGProposer,UGProposer_JUS,AI_UGProposer,AI_UGProposer_JUS,StatementID2,SubjectID2,ID2,UGResponder,UGResponder_JUS,AI_UGResponder,AI_UGResponder_JUS
1,ODU,2,34,5,Split it 50/50.,5,"I want to be fair while also maximizing my own reward, so I split the endowment in half and offer 5 ECU to the responder.",1,17,12,5,We both get the same amount.,1,"1 ECU is the minimum amount of money, so accepting anything less than that wouldn't make sense."
2,ODU,5,9,5,Seems equally fair to us both.,5,"I want to offer the responder 5 ECU because it's a fair compromise between keeping the majority for myself and giving a significant enough amount to the responder to make the offer worth their acceptance. This way, both of us can come away with some ECU and avoid leaving empty-handed.",2,22,38,4,It's a fair amount.,1,"I'd like to receive something, so even just 1 ECU is better than nothing."
3,ODU,17,58,5,Half is a fair amount and is likely to be set as a minimum.,5,"I think it's a fair offer that benefits both of us. By offering 5 ECU, I am still able to keep a significant amount for myself while also giving the responder a chance to earn some money.",3,25,2,1,Will accept any amount.,1,"I want to earn something, so I'll accept any amount offered."
4,ODU,22,35,5,It’s a fair offer.,5,"It's a fair split, giving the responder half of my endowment.",4,35,53,4,It’s a good amount.,1,"I want to receive at least some amount of money, so I set the minimum offer to be 1 ECU."
5,ODU,25,41,2,The responder will likely accept the offer as it is the only chance of receiving any ECU.,4,I want to offer the responder 4 ECU because I want to maximize my own payout while still making a fair offer that the responder might accept.,5,58,64,5,Because an even split is the fairest choice.,1,I'm not willing to accept any less than 1 ECU.
6,ODU,38,32,5,I want to be fair.,5,"I want to offer 5 ECU because I believe it is a fair and reasonable amount for both parties, and increases the chances of the offer being accepted.",6,78,53,5,I would accept and hope the other person has split fairly.,1,"I want to receive at least some amount of money, so I set the minimum offer to be 1 ECU."
7,ODU,56,49,5,Because it's 50/50 shared.,5,"I believe that a fair and equal split of the endowment would be to offer half to the responder, which in this case is 5 ECU.",7,134,15,5,"Splitting the amount in half is fair to both of us, and hopefully, the other person will hold the same view.",1,"I believe that receiving any amount is better than receiving nothing, so I would be willing to accept any positive offer."
8,ODU,58,53,5,Because that is the fairest way to split it.,5,"I believe it's fair to offer the responder half of my endowment, as this way we both get something rather than both getting nothing.",8,163,44,3,The proposer gets the money from nowhere so this is the smallest fair offer.,1,"I would accept any positive amount, as even a small amount of ECU is better than none at all."
9,ODU,73,22,4,I get plenty of ECU without too much risk.,5,I want to be fair and keep the possibility of a mutually beneficial outcome alive.,9,175,9,1,"As the responder, if I accept 1 ECU, I am still profiting compared to the possibility of rejection.",1,"I want to receive something, so I will accept any positive offer."
10,ODU,78,9,5,I'd hope the other person accepts and it is split evenly.,5,"I want to offer the responder 5 ECU because it's a fair compromise between keeping the majority for myself and giving a significant enough amount to the responder to make the offer worth their acceptance. This way, both of us can come away with some ECU and avoid leaving empty-handed.",10,177,64,4,I think most people will choose around 5 so I’m erring on the side of caution.,1,I'm not willing to accept any less than 1 ECU.
11,ODU,102,34,5,"I like being fair, so I split it 50/50.",5,"I want to be fair while also maximizing my own reward, so I split the endowment in half and offer 5 ECU to the responder.",11,184,47,4,That would be a fair balance.,1,"Sure! I'd like to receive at least 1 ECU, so that I end up with some money and don't walk away empty-handed."
