PID;Duration;A1comp1;A1comp2;A1comp3;A1comp4;A2comp1;A2comp2;A2comp3;A2comp4OB;checkObs;calcPun;uncalcPun;A2comp4HID;checkHid;return;G1Bcomp1;G1Bcomp2;G1Bcomp3;G1Bcomp4;G2Bcomp1;G2Bcomp2;G2Bcomp3;punUncalc;noUncalc;punCalc;noCalc;punHid;noPunHid;gender;age;Condition;RecordedDate
1;231;;;;;;;;;;;;;;;1;1;1;0;1;0;1;;;;;5;5;2;30;6;22/11/2023 15:39
2;491;;;;;;;;;;;;;;;1;1;1;1;1;1;0;2;10;5;8;;;2;34;5;22/11/2023 15:43
3;354;;;;;;;;;;;;;;;1;1;1;1;1;1;0;;;;;10;10;1;35;6;22/11/2023 15:44
4;364;1;0;0;0;0;0;0;0;1;0;;;;80;;;;;;;;;;;;;;1;63;3;22/11/2023 15:45
5;202;;;;;;;;;;;;;;;1;0;0;0;0;0;1;;;;;7;6;2;32;6;22/11/2023 15:45
6;399;1;1;1;1;1;1;1;;;0;;1;1;50;;;;;;;;;;;;;;2;22;4;22/11/2023 15:45
7;262;1;0;1;0;0;0;0;0;1;0;;;;100;;;;;;;;;;;;;;2;46;3;22/11/2023 15:47
8;340;;;;;;;;;;;;;;;0;1;1;0;0;1;0;;;;;10;10;1;38;6;22/11/2023 15:48
9;341;1;0;1;1;1;1;1;;;;1;1;0;0;;;;;;;;;;;;;;1;34;4;22/11/2023 15:48
10;486;1;1;1;1;1;1;1;;;0;;1;1;50;;;;;;;;;;;;;;2;28;4;22/11/2023 15:49
11;442;;;;;;;;;;;;;;;1;0;1;1;1;1;1;;;;;10;10;1;54;6;22/11/2023 15:50
12;283;1;1;1;0;1;1;0;0;1;1;;;;50;;;;;;;;;;;;;;2;61;3;22/11/2023 15:51
13;300;0;0;1;1;1;0;1;1;1;1;;;;50;;;;;;;;;;;;;;2;35;3;22/11/2023 15:52
14;326;;;;;;;;;;;;;;;1;1;1;1;1;1;1;;;;;2;8;1;26;6;22/11/2023 15:53
15;302;;;;;;;;;;;;;;;0;1;1;0;1;1;1;10;10;10;10;;;2;39;5;22/11/2023 15:54
16;613;;;;;;;;;;;;;;;0;0;1;0;1;1;1;5;2;2;2;;;2;48;5;22/11/2023 15:54
17;347;0;0;1;0;1;0;1;;;;0;0;0;49;;;;;;;;;;;;;;2;44;4;22/11/2023 15:54
18;854;;;;;;;;;;;;;;;1;1;1;0;0;0;0;;;;;2;0;2;41;6;22/11/2023 15:55
19;503;0;0;1;1;1;1;1;1;0;;0;;;50;;;;;;;;;;;;;;2;35;3;22/11/2023 15:56
20;371;0;0;1;1;1;0;0;;;;1;1;0;100;;;;;;;;;;;;;;2;61;4;22/11/2023 15:57
21;582;1;0;0;0;0;1;1;;;0;;1;1;0;;;;;;;;;;;;;;2;48;4;22/11/2023 15:57
22;225;1;0;0;0;1;1;1;0;1;0;;;;50;;;;;;;;;;;;;;2;31;3;22/11/2023 15:57
23;324;;;;;;;;;;;;;;;1;1;1;0;1;0;1;;;;;0;0;2;33;6;22/11/2023 15:58
24;276;;;;;;;;;;;;;;;1;1;1;1;0;0;1;;;;;2;4;1;26;6;22/11/2023 15:58
