factor,direction,split,eval_granularity,model,method,r2,r2_oos_train_mean,rmse,mae,base_r2,base_rmse,base_mae,base_r2_oos_train_mean,delta_r2_vs_config,rmse_drop_vs_config,delta_r2_oos_vs_config
all_or_nothing,false_to_true,all_or_nothing/false_to_true,config_treatment,ridge,synthetic,-0.4453648566948696,-0.4390860281253159,0.1022251867771451,0.0831793196057559,-0.5360052253140479,0.1053817760954698,0.086669848359183,-0.5293326447216713,0.09064036861917835,0.0031565893183247012,0.09024661659635541
all_or_nothing,false_to_true,all_or_nothing/false_to_true,config_treatment,ridge,oracle,-0.162203242788868,-0.157154500327302,0.0916664069722911,0.0763761665817612,-0.5360052253140479,0.1053817760954698,0.086669848359183,-0.5293326447216713,0.37380198252517993,0.013715369123178694,0.3721781443943693
all_or_nothing,true_to_false,all_or_nothing/true_to_false,config_treatment,ridge,synthetic,-0.2138345367371044,-0.1498510147150114,0.0840305174544839,0.0629149056257921,-0.2975579698439912,0.0868801731159312,0.0636441617368604,-0.2291612267741929,0.08372343310688679,0.002849655661447306,0.07931021205918151
all_or_nothing,true_to_false,all_or_nothing/true_to_false,config_treatment,ridge,oracle,0.1113849564669131,0.1582255418072333,0.071897555289596,0.0540858571262613,-0.2975579698439912,0.0868801731159312,0.0636441617368604,-0.2291612267741929,0.4089429263109043,0.014982617826335198,0.3873867685814262
default_contrib_prop,false_to_true,default_contrib_prop/false_to_true,config_treatment,ridge,synthetic,-1.137407934558214,-1.1141657299118966,0.1121906406320514,0.0871261844409928,-1.1197666748304362,0.111726694331489,0.0873774754446747,-1.0967163014963273,-0.017641259727777747,-0.00046394630056240116,-0.01744942841556929
default_contrib_prop,false_to_true,default_contrib_prop/false_to_true,config_treatment,ridge,oracle,-0.3754186345388572,-0.3604623125090533,0.0899974846169401,0.0724215654792008,-1.1197666748304362,0.111726694331489,0.0873774754446747,-1.0967163014963273,0.744348040291579,0.021729209714548905,0.7362539889872739
default_contrib_prop,true_to_false,default_contrib_prop/true_to_false,config_treatment,ridge,synthetic,0.0011434039879828,0.0353605741481984,0.0830455223640013,0.0636787725207849,-0.1195303750626024,0.0879189698782291,0.0719273039674455,-0.0811793630194419,0.1206737790505852,0.004873447514227802,0.1165399371676403
default_contrib_prop,true_to_false,default_contrib_prop/true_to_false,config_treatment,ridge,oracle,0.3326285601046397,0.355490262385167,0.0678810355207606,0.055880262048732,-0.1195303750626024,0.0879189698782291,0.0719273039674455,-0.0811793630194419,0.4521589351672421,0.020037934357468506,0.4366696254046089
mpcr,high_to_low,mpcr/high_to_low,config_treatment,ridge,synthetic,-0.4893794778339122,-0.4889214259345751,0.0986550402308127,0.0776699112021764,-0.8796802263391228,0.1108303186073387,0.0913079451622383,-0.8791021392158378,0.39030074850521057,0.012175278376526003,0.3901807132812627
mpcr,high_to_low,mpcr/high_to_low,config_treatment,ridge,oracle,-0.7484714765101794,-0.7479337420424554,0.1068921644770869,0.086672970678843,-0.8796802263391228,0.1108303186073387,0.0913079451622383,-0.8791021392158378,0.13120874982894337,0.003938154130251809,0.13116839717338236
mpcr,low_to_high,mpcr/low_to_high,config_treatment,ridge,synthetic,-0.5099179570208032,-0.352317873186232,0.0925841425026878,0.0844230051441076,-0.4180569503491134,0.0897236164001848,0.077461822622793,-0.2700450049198575,-0.09186100667168984,-0.002860526102503008,-0.08227286826637448
mpcr,low_to_high,mpcr/low_to_high,config_treatment,ridge,oracle,0.0942751996134876,0.1888116635373998,0.071706423767269,0.0626985849469046,-0.4180569503491134,0.0897236164001848,0.077461822622793,-0.2700450049198575,0.512332149962601,0.01801719263291579,0.4588566684572573
num_rounds,high_to_low,num_rounds/high_to_low,config_treatment,ridge,synthetic,0.4445185899025826,0.6687917128593206,0.0527540122654151,0.0449004614577641,0.3670725060731874,0.0563115798802108,0.0485801269748778,0.622614137328235,0.07744608382939516,0.003557567614795698,0.04617757553108559
num_rounds,high_to_low,num_rounds/high_to_low,config_treatment,ridge,oracle,0.3860406012036957,0.6339239492936711,0.0554613654207238,0.0470237131567391,0.3670725060731874,0.0563115798802108,0.0485801269748778,0.622614137328235,0.01896809513050829,0.000850214459486999,0.011309811965436123
num_rounds,low_to_high,num_rounds/low_to_high,config_treatment,ridge,synthetic,-0.2376363476981644,-0.0831501794491376,0.0910772389176177,0.0680449533321322,-0.1528308935089652,0.0879014686862558,0.0690857489922266,-0.008930443503164,-0.08480545418919921,-0.0031757702313618963,-0.07421973594597361
num_rounds,low_to_high,num_rounds/low_to_high,config_treatment,ridge,oracle,-1.667576365886298,-1.334600001670836,0.1337124230534792,0.1067066069632939,-0.1528308935089652,0.0879014686862558,0.0690857489922266,-0.008930443503164,-1.5147454723773328,-0.04581095436722339,-1.3256695581676718
player_count,high_to_low,player_count/high_to_low,config_treatment,ridge,synthetic,-0.3451368077939314,-0.2779104707815762,0.0742628041379951,0.0583325592184196,-0.5153352961930495,0.0788210988799958,0.0629300415986996,-0.4396028943151604,0.1701984883991181,0.004558294742000701,0.1616924235335842
player_count,high_to_low,player_count/high_to_low,config_treatment,ridge,oracle,-0.3903744745776634,-0.3208872800709368,0.0755012268488984,0.0622587696134834,-0.5153352961930495,0.0788210988799958,0.0629300415986996,-0.4396028943151604,0.12496082161538613,0.003319872031097404,0.11871561424422361
player_count,low_to_high,player_count/low_to_high,config_treatment,ridge,synthetic,0.413280253720683,0.4825528456128045,0.0716915491632778,0.056343083437422,0.0679658096980615,0.0903584005272959,0.0746819198872225,0.1780088489919074,0.3453144440226215,0.018666851364018106,0.3045439966208971
player_count,low_to_high,player_count/low_to_high,config_treatment,ridge,oracle,0.2581635666504926,0.3457504133929285,0.0806132985407139,0.0659705945042795,0.0679658096980615,0.0903584005272959,0.0746819198872225,0.1780088489919074,0.19019775695243113,0.009745101986582003,0.16774156440102111
