progress_bin,progress_bin_start,progress_bin_end,mean_progress_norm,n_games,n_player_rounds,mean_contribution,median_contribution,p25_contribution,p75_contribution
0,0.0,0.1,0.029815165228852726,376,7496,14.455309498399146,20.0,10.0,20.0
1,0.1,0.2,0.14516197788854793,306,5411,15.352615043430049,20.0,10.0,20.0
2,0.2,0.3,0.24560062420002574,318,5597,15.20850455601215,20.0,10.0,20.0
3,0.3,0.4,0.3450378640824407,306,5370,15.51415270018622,20.0,10.0,20.0
4,0.4,0.5,0.4398586731094106,292,4835,15.499689762150982,20.0,10.0,20.0
5,0.5,0.6,0.5385088283571876,331,5933,15.30119669644362,20.0,10.0,20.0
6,0.6,0.7,0.6466224794543971,316,5600,15.57767857142857,20.0,12.0,20.0
7,0.7,0.8,0.7459255172219258,308,5140,15.281906614785992,20.0,10.0,20.0
8,0.8,0.9,0.8464333423899246,316,5541,15.461829994585814,20.0,10.0,20.0
9,0.9,1.0,0.966945666908158,368,7324,14.899645002730749,20.0,10.0,20.0
