source,cluster,cluster_label,mean_mass,top_assignment_share
learn,cluster_1_prob,strong_mildly_conditional_cooperator,0.22623859663562565,0.22622699386503067
learn,cluster_2_prob,opportunistic_free_rider,0.1321376543177153,0.13190184049079753
learn,cluster_3_prob,fragile_high_cooperator,0.1794824931439764,0.17995910020449898
learn,cluster_4_prob,near_unconditional_full_cooperator,0.20514784043756362,0.20501022494887525
learn,cluster_5_prob,unknown_or_sparse_info,0.03502044989775051,0.03502044989775051
learn,cluster_6_prob,moderate_payoff_aware_conditional_cooperator,0.22197296556736879,0.22188139059304704
val,cluster_1_prob,strong_mildly_conditional_cooperator,0.18260004078521763,0.18233547748639287
val,cluster_2_prob,opportunistic_free_rider,0.14702866319588448,0.14720435428005937
val,cluster_3_prob,fragile_high_cooperator,0.17989150188254507,0.17788223651657595
val,cluster_4_prob,near_unconditional_full_cooperator,0.22475881854528368,0.2268678871845621
val,cluster_5_prob,unknown_or_sparse_info,0.07446808510638298,0.07446808510638298
val,cluster_6_prob,moderate_payoff_aware_conditional_cooperator,0.19125289048468655,0.19124195942602673
