CONFIG_treatmentName,cluster_l1,top_match,embed_mean_dist,heter_err,method
VALIDATION_0_C,0.5584344760358241,0.225,26.478829142966053,13.355555637154575,cluster6_exemplar_bank
VALIDATION_0_T,0.5155682267909892,0.7,22.65760999954122,21.139046132074803,cluster6_exemplar_bank
VALIDATION_10_C,0.9697420143685994,0.28,36.74321174438518,17.408457572805183,cluster6_exemplar_bank
VALIDATION_10_T,0.9867557335227957,0.16,33.05336562119946,19.434518991819786,cluster6_exemplar_bank
VALIDATION_11_C,0.4783875887525674,0.43,26.548560116660514,16.157412253623235,cluster6_exemplar_bank
VALIDATION_11_T,0.533720508128394,0.43,21.480662822354343,14.557692444908117,cluster6_exemplar_bank
VALIDATION_12_C,0.6990729198412461,0.425,29.735778599332384,13.116385054718073,cluster6_exemplar_bank
VALIDATION_12_T,0.788629413317569,0.425,27.796640271099704,19.940712072613604,cluster6_exemplar_bank
VALIDATION_13_C,0.48748455139227653,0.785,30.916148193167857,17.903216643377085,cluster6_exemplar_bank
VALIDATION_13_T,0.4330023500634305,0.995,24.253910848807116,15.139498980519615,cluster6_exemplar_bank
VALIDATION_14_C,0.6750316625821589,0.35,30.75427000103092,22.87580741001559,cluster6_exemplar_bank
VALIDATION_14_T,0.8170489685545662,0.36,26.896424796553173,24.771484184886095,cluster6_exemplar_bank
VALIDATION_15_C,1.1077236123127836,0.575,27.42974382468774,19.9475224253425,cluster6_exemplar_bank
VALIDATION_15_T,1.0270437361158473,0.745,23.07978572247638,11.845939375537188,cluster6_exemplar_bank
VALIDATION_16_C,0.5345444091082974,0.205,25.57038934005329,19.076473097669336,cluster6_exemplar_bank
VALIDATION_16_T,0.5830296170237245,0.34,23.85093131302124,15.788213790895743,cluster6_exemplar_bank
VALIDATION_17_C,0.9278002642404519,0.675,32.55006629302759,7.385868595516744,cluster6_exemplar_bank
VALIDATION_17_T,0.9348403053203491,0.545,27.835924748345814,14.397526007811404,cluster6_exemplar_bank
VALIDATION_18_C,1.0760389795185328,0.17,33.42977332971591,21.68724884422309,cluster6_exemplar_bank
VALIDATION_18_T,0.7517984592648466,0.33,29.512843063446166,17.56027220245099,cluster6_exemplar_bank
VALIDATION_19_C,0.9729065900301143,0.56,38.41243752529503,23.28891593580542,cluster6_exemplar_bank
VALIDATION_19_T,0.8450080584251625,0.755,32.46553013988183,18.899777060948683,cluster6_exemplar_bank
VALIDATION_1_C,1.0153834714738865,0.51,38.385005471868,19.491123181886554,cluster6_exemplar_bank
VALIDATION_1_T,0.7556908019568929,0.7,31.95830129070904,18.092272347636243,cluster6_exemplar_bank
VALIDATION_2_C,0.9809494129544595,0.625,34.654368331822354,23.07310703851565,cluster6_exemplar_bank
VALIDATION_2_T,0.7618432196072085,0.8,30.613227643461652,19.49701727038832,cluster6_exemplar_bank
VALIDATION_3_C,0.8126315129125475,0.055,29.888341531242414,13.929101914254563,cluster6_exemplar_bank
VALIDATION_3_T,0.7271711243964074,0.27,27.785689380334446,26.451222422681184,cluster6_exemplar_bank
VALIDATION_4_C,0.6688390341960552,0.225,28.294748547830018,17.090119476953966,cluster6_exemplar_bank
VALIDATION_4_T,0.6734797394110399,0.405,26.245758519033526,17.508082089012465,cluster6_exemplar_bank
VALIDATION_5_C,0.7658827246862426,0.285,30.28836438825947,15.94033713977651,cluster6_exemplar_bank
VALIDATION_5_T,0.82376533668744,0.59,27.07563161738086,18.20314487309911,cluster6_exemplar_bank
VALIDATION_6_C,0.9393241346681458,0.86,42.734786405901005,20.24639204655296,cluster6_exemplar_bank
VALIDATION_6_T,0.7856739987417153,0.935,27.463718644767287,19.49944952155368,cluster6_exemplar_bank
VALIDATION_7_C,1.0935325496259372,0.635,36.418539034238414,18.973052955778225,cluster6_exemplar_bank
VALIDATION_7_T,0.8198158839132275,0.26,29.750260650482847,24.526385927702336,cluster6_exemplar_bank
VALIDATION_8_C,0.6309678168089686,0.44,33.509816294655145,22.740951026679525,cluster6_exemplar_bank
VALIDATION_8_T,0.6760685702537793,0.44,28.39876964517991,20.66073493619102,cluster6_exemplar_bank
VALIDATION_9_C,1.3282818424882428,0.41,34.777423806552804,18.17755624085652,cluster6_exemplar_bank
VALIDATION_9_T,1.4494641032085616,0.145,32.46874669594361,15.191243716474496,cluster6_exemplar_bank
VALIDATION_0_C,0.5214743833583896,0.51,19.12492059070786,3.648901117545978,direct_soft_bank
VALIDATION_0_T,0.48000348808417875,0.91,14.68308871038357,4.978279846119019,direct_soft_bank
VALIDATION_10_C,1.0275839267348927,0.15,27.74716110113384,5.433635627927198,direct_soft_bank
VALIDATION_10_T,1.1409851687832684,0.005,27.41016542891367,5.196307641074588,direct_soft_bank
VALIDATION_11_C,0.5030921203852039,0.885,14.911199111860176,2.6241118354424726,direct_soft_bank
VALIDATION_11_T,0.6392602667557336,0.98,16.524455180892772,4.008253022024646,direct_soft_bank
VALIDATION_12_C,0.6226938049998965,0.74,19.895260399176994,4.377629358360722,direct_soft_bank
VALIDATION_12_T,0.6471002499323844,0.83,18.81491615462363,3.520018609073204,direct_soft_bank
VALIDATION_13_C,0.514518679683141,0.625,12.870479702211613,2.5695886854774006,direct_soft_bank
VALIDATION_13_T,0.5224600034257151,0.88,13.988924676119842,3.5187741863649844,direct_soft_bank
VALIDATION_14_C,0.4864940362418775,0.51,16.877182802397584,6.783089268453274,direct_soft_bank
VALIDATION_14_T,0.6023782892591326,0.93,16.740174002958813,4.172963515820997,direct_soft_bank
VALIDATION_15_C,0.1910448052353129,1.0,14.573461138471508,5.332055764555994,direct_soft_bank
VALIDATION_15_T,0.3568288775755507,1.0,23.022621359590318,9.067517738313674,direct_soft_bank
VALIDATION_16_C,0.9209731273142521,0.0,24.00096526001281,2.5367009848255817,direct_soft_bank
VALIDATION_16_T,0.7814279930761491,0.005,19.354374756774572,2.265422481995991,direct_soft_bank
VALIDATION_17_C,0.3411110475254938,1.0,21.584489827271295,12.742483766097196,direct_soft_bank
VALIDATION_17_T,0.49993516287601786,1.0,20.39882876084586,10.19170454893878,direct_soft_bank
VALIDATION_18_C,1.127584274603677,0.055,28.747053860460582,6.4848136395023275,direct_soft_bank
VALIDATION_18_T,1.0214201712760336,0.06,25.639063456451858,5.1741173983418856,direct_soft_bank
VALIDATION_19_C,0.28200339613023534,1.0,20.86188478678023,5.014695837721747,direct_soft_bank
VALIDATION_19_T,0.291409311271596,0.995,22.05939825954502,4.6829795984157405,direct_soft_bank
VALIDATION_1_C,0.3663932334378623,0.99,26.438007570208907,6.735135277165962,direct_soft_bank
VALIDATION_1_T,0.5156348284008281,0.995,24.026677314434448,4.907369202328231,direct_soft_bank
VALIDATION_2_C,0.27208188425525537,1.0,21.646068435275662,4.377421387266626,direct_soft_bank
