split_slug,direction,target,model_label,feature_source,k,oracle,env_val_mean_cluster_mae,env_val_avg_l1,mae,rmse,corr
all_or_nothing,false_to_true,contribution_rate,ridge_config,config,,False,,,0.08760384000676648,0.1068273504800892,0.03220159248343076
all_or_nothing,false_to_true,contribution_rate,ridge_raw_cluster_oracle_cluster_only,cluster_only,4.0,True,,,0.06038651988034073,0.07565766756697025,0.5403350437511885
all_or_nothing,false_to_true,contribution_rate,ridge_raw_cluster_oracle_cluster_plus_config,cluster_plus_config,4.0,True,,,0.08318837996075834,0.10067876942152086,0.2090476389502871
all_or_nothing,false_to_true,contribution_rate,ridge_raw_cluster_pred_cluster_only,cluster_only,4.0,False,0.20607024877278085,0.8242809950911234,0.07290398305973345,0.08376188518027072,0.2283136852028326
all_or_nothing,false_to_true,contribution_rate,ridge_raw_cluster_pred_cluster_plus_config,cluster_plus_config,4.0,False,0.20607024877278085,0.8242809950911234,0.08616725137195155,0.10052369978436804,0.0185335943167533
all_or_nothing,false_to_true,contribution_rate,ridge_text_cluster_oracle_cluster_only,cluster_only,6.0,True,,,0.034508132312004114,0.046374249393241994,0.8023205176077958
all_or_nothing,false_to_true,contribution_rate,ridge_text_cluster_oracle_cluster_plus_config,cluster_plus_config,6.0,True,,,0.06062910165357264,0.0767496332236483,0.44378239171084993
all_or_nothing,false_to_true,contribution_rate,ridge_text_cluster_pred_cluster_only,cluster_only,6.0,False,0.14700502476227303,0.8820301485736383,0.07481832150834834,0.09107089896542526,0.05982710317747604
all_or_nothing,false_to_true,contribution_rate,ridge_text_cluster_pred_cluster_plus_config,cluster_plus_config,6.0,False,0.14700502476227303,0.8820301485736383,0.08294809385064278,0.09987611114862385,0.018492039854989047
all_or_nothing,false_to_true,normalized_efficiency,ridge_config,config,,False,,,0.11817299965805445,0.13471421895130736,0.12063797895747402
all_or_nothing,false_to_true,normalized_efficiency,ridge_raw_cluster_oracle_cluster_only,cluster_only,4.0,True,,,0.07475232127234878,0.08839324113844423,0.40178941126517387
all_or_nothing,false_to_true,normalized_efficiency,ridge_raw_cluster_oracle_cluster_plus_config,cluster_plus_config,4.0,True,,,0.10731362806817359,0.12506160271536984,0.18886471936408522
all_or_nothing,false_to_true,normalized_efficiency,ridge_raw_cluster_pred_cluster_only,cluster_only,4.0,False,0.20607024877278085,0.8242809950911234,0.07650331202151987,0.0914415700139659,0.3408897206602837
